# Per-dataset form parse rates, recorded from a deliberate regeneration.
#
# A form counts as parsed only if every one of its segments is recognized,
# which is the condition an actual pipeline faces. This cannot be recomputed
# from bench/corpus/lexibank-segments.tsv: whether a form parses depends on
# which segments co-occur in it. System: distinctive.
#
# Regenerate with: bench/bench_coverage.py --regenerate <lexibank-dir>

# 152 datasets; 1 below 3% of forms parsed.

DATASET                           FORMS   %FORMS  %TOKENS
castrosui                          9459   100.0%   100.0%
castroyi                           2891   100.0%   100.0%
castrozhuang                      10512   100.0%   100.0%
chaconbaniwa                       2354   100.0%   100.0%
chaconcolumbian                    9030   100.0%   100.0%
chaconnorthwestarawakan            2390   100.0%   100.0%
chacontukanoan                     1542   100.0%   100.0%
chenhmongmien                     22011   100.0%   100.0%
chindialectsurvey                 14271   100.0%   100.0%
chingelong                          998   100.0%   100.0%
clarkkimmun                         922   100.0%   100.0%
constenlachibchan                  2631   100.0%   100.0%
crossandean                        7518   100.0%   100.0%
davletshinaztecan                   854   100.0%   100.0%
deepadungpalaung                   1584   100.0%   100.0%
dravlex                            2127   100.0%   100.0%
dunnaslian                         4560   100.0%   100.0%
dunnielex                          4393   100.0%   100.0%
duonglachi                          412   100.0%   100.0%
felekesemitic                      3120   100.0%   100.0%
galuciotupi                        2258   100.0%   100.0%
gaotb                              5085   100.0%   100.0%
gerarditupi                        7621   100.0%   100.0%
germancognates                     1928   100.0%   100.0%
gled                             262859   100.0%   100.0%
gravinachadic                     16663   100.0%   100.0%
halenepal                         11041   100.0%   100.0%
hantganbangime                     6181   100.0%   100.0%
hruschkaturkic                     4213   100.0%   100.0%
hsiuhmongmien                       910   100.0%   100.0%
hubercolumbian                    26723   100.0%   100.0%
huntergatherer                    64607   100.0%   100.0%
idssegmented                     360553   100.0%   100.0%
ivanisuansu                         250   100.0%   100.0%
kahd                               5935   100.0%   100.0%
kesslersignificance                1600   100.0%   100.0%
kitchensemitic                     2396   100.0%   100.0%
kleinewillinghoeferbikwinjen       1804   100.0%   100.0%
kochtukanoan                       2299   100.0%   100.0%
kraftchadic                       29059   100.0%   100.0%
lairgyalrong                       6321   100.0%   100.0%
lamanisoic                        11676   100.0%   100.0%
leeainu                            3980   100.0%   100.0%
leecaijia                           238   100.0%   100.0%
leejaponic                        11363   100.0%   100.0%
leekoreanic                        2365   100.0%   100.0%
lieberherrkhobwa                   2144   100.0%   100.0%
lindseyende                        1129   100.0%   100.0%
lionnetyotonahua                   2870   100.0%   100.0%
liusinitic                         4302   100.0%   100.0%
luangthongkumkaren                 3233   100.0%   100.0%
lundgrenomagoa                     3289   100.0%   100.0%
mannburmish                        2076   100.0%   100.0%
marrisonnaga                      27594   100.0%   100.0%
mattercariban                      2249   100.0%   100.0%
mcelhanonhuon                      1960   100.0%   100.0%
meloniromance                     21350   100.0%   100.0%
mitterhoferbena                    2017   100.0%   100.0%
mixtecansubgrouping               15932   100.0%   100.0%
naganorgyalrongic                 10085   100.0%   100.0%
nagarajakhasian                    1214   100.0%   100.0%
othanieljen                        2998   100.0%   100.0%
pachechibchan                      3437   100.0%   100.0%
panobodyparts                       637   100.0%   100.0%
papuanvoices                       2761   100.0%   100.0%
pharaocoracholaztecan               799   100.0%   100.0%
polyglottaafricana                57593   100.0%   100.0%
robbeetstriangulation             26224   100.0%   100.0%
robinsonap                         4841   100.0%   100.0%
saenkoromance                      4853   100.0%   100.0%
sawkatokaleya                      2166   100.0%   100.0%
