GRAPHEME	NAME
a	unrounded open front vowel
a̰ːː	ultra-long creaky unrounded open front vowel
b	voiced bilabial stop consonant
bv	voiced labio-dental affricate consonant
b̪	voiced labio-dental stop consonant
bβ	voiced bilabial affricate consonant
c	voiceless palatal stop consonant
cç	voiceless palatal affricate consonant
ç	voiceless palatal sibilant fricative consonant
d	voiced alveolar stop consonant
dz	voiced alveolar sibilant affricate consonant
dz̪	voiced dental sibilant affricate consonant
dz̪ʰ	aspirated voiced dental sibilant affricate consonant
dz̪ʰː	aspirated long voiced dental sibilant affricate consonant
dz̪ʰˠ	aspirated velarized voiced dental sibilant affricate consonant
dz̪ʰˤ	aspirated pharyngealized voiced dental sibilant affricate consonant
dz̪ʱ	breathy voiced dental sibilant affricate consonant
dz̪ʱː	long breathy voiced dental sibilant affricate consonant
dz̪ʱˠ	velarized breathy voiced dental sibilant affricate consonant
dz̪ʱˤ	pharyngealized breathy voiced dental sibilant affricate consonant
dz̪ʲ	palatalized voiced dental sibilant affricate consonant
dz̪ʲʰ	palatalized aspirated voiced dental sibilant affricate consonant
dz̪ʲʱ	palatalized breathy voiced dental sibilant affricate consonant
dz̪ʲʷ	palatalized labialized voiced dental sibilant affricate consonant
dz̪ʲʷʰ	palatalized labialized aspirated voiced dental sibilant affricate consonant
dz̪ʲː	palatalized long voiced dental sibilant affricate consonant
dz̪ʷ	labialized voiced dental sibilant affricate consonant
dz̪ʷʰ	labialized aspirated voiced dental sibilant affricate consonant
dz̪ʷʰː	labialized aspirated long voiced dental sibilant affricate consonant
dz̪ʷʰˠ	labialized aspirated velarized voiced dental sibilant affricate consonant
dz̪ʷʰˤ	labialized aspirated pharyngealized voiced dental sibilant affricate consonant
dz̪ʷʱ	labialized breathy voiced dental sibilant affricate consonant
dz̪ʷˀ	labialized glottalized voiced dental sibilant affricate consonant
dz̪ʷː	labialized long voiced dental sibilant affricate consonant
dz̪ʷˠ	labialized velarized voiced dental sibilant affricate consonant
dz̪ʷˤ	labialized pharyngealized voiced dental sibilant affricate consonant
dz̪ˀ	glottalized voiced dental sibilant affricate consonant
dz̪ː	long voiced dental sibilant affricate consonant
dz̪ˠ	velarized voiced dental sibilant affricate consonant
dz̪ˠː	velarized long voiced dental sibilant affricate consonant
dz̪ˤ	pharyngealized voiced dental sibilant affricate consonant
dz̪ˤː	pharyngealized long voiced dental sibilant affricate consonant
dz̪̃	nasalized voiced dental sibilant affricate consonant
dz̪̃ː	nasalized long voiced dental sibilant affricate consonant
dz̪̃ˤ	nasalized pharyngealized voiced dental sibilant affricate consonant
dz̪̟	advanced voiced dental sibilant affricate consonant
dz̪̠	retracted voiced dental sibilant affricate consonant
dz̪̰	creaky voiced dental sibilant affricate consonant
dz̪̰ʲ	palatalized creaky voiced dental sibilant affricate consonant
dz̪̰ʷ	labialized creaky voiced dental sibilant affricate consonant
dz̪̰ː	long creaky voiced dental sibilant affricate consonant
dz̪̰ˠ	velarized creaky voiced dental sibilant affricate consonant
dz̪̰ˤ	pharyngealized creaky voiced dental sibilant affricate consonant
dz̪̰̃	nasalized creaky voiced dental sibilant affricate consonant
dz̪̺	voiced apical dental sibilant affricate consonant
dz̪̻	voiced laminal dental sibilant affricate consonant
dz̪ᶣ	labio-palatalized voiced dental sibilant affricate consonant
dz̪ᶣʰ	labio-palatalized aspirated voiced dental sibilant affricate consonant
dð	voiced dental affricate consonant
dɮ	voiced alveolar lateral affricate consonant
dʑ	voiced alveolo-palatal sibilant affricate consonant
dʒ	voiced post-alveolar sibilant affricate consonant
d̠	voiced post-alveolar stop consonant
d̠ʰ	aspirated voiced post-alveolar stop consonant
d̠ʰː	aspirated long voiced post-alveolar stop consonant
d̠ʲ	palatalized voiced post-alveolar stop consonant
d̠ʲː	palatalized long voiced post-alveolar stop consonant
d̠ʷ	labialized voiced post-alveolar stop consonant
