GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
a̪ː	+	+	-	+	+	+	-	n	-	-	-	+	+	-	+	-	-	+	-	-	n	+	-
a̰	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	-	-
a̰ː	+	+	-	+	+	+	+	n	-	-	-	-	-	-	+	-	-	+	-	-	n	+	-
b	-	-	+	-	-	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
b*	-	-	+	-	-	+	-	n	-	-	-	-	n	-	-	+	-	-	-	+	+	-	-
bv	-	-	+	-	-	+	-	n	-	+	-	.	n	-	-	+	-	-	-	+	-	-	-
bz	-	-	+	-	-	+	-	-	-	+	-	.	n	-	-	+	.	-	-	.	.	-	-
bɮ	-	-	+	-	-	+	-	+	-	-	-	.	n	-	-	+	.	-	-	.	.	-	-
bʒ	-	-	+	-	-	+	-	-	-	+	-	.	n	.	-	-	.	-	-	-	+	-	-
bʰ	-	-	+	-	-	+	-	n	-	-	+	+	n	-	-	+	-	-	-	+	+	-	-
bʲ	-	-	+	-	-	+	-	n	-	-	-	.	n	+	-	+	-	-	-	+	+	-	-
bʷ	-	-	+	-	-	+	-	n	-	-	-	.	n	-	-	+	-	-	+	+	+	-	-
bʼ	-	-	+	-	-	+	+	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
bː	-	-	+	-	-	+	-	n	-	-	-	.	n	-	-	+	-	-	-	+	+	+	-
bˡ	-	-	+	-	-	+	-	+	-	-	-	.	n	-	-	+	-	-	-	+	+	-	-
bˤ	-	-	+	-	-	+	-	n	-	-	-	.	n	-	+	+	-	+	-	+	+	-	-
b̀	-	-	+	-	-	+	-	n	-	-	-	+	n	-	-	+	-	-	-	+	+	-	-
b̂	-	-	+	-	-	+	-	n	-	-	-	-	n	-	-	+	-	-	-	+	+	-	-
