GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	constr	lateral	nasal	strident	spread	tense	ATR	high	low	anterior	coronal	back	round	labial	distributed	LONG	EXTRA
kʷ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
kʷɦ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	-	-
kʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
kʷː	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	+	+	.	+	-
kʼ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
kʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	-	-	-	.	-	-
kʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
kː	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	-	-	+	-	-	.	+	-
kˤ	-	-	+	-	-	-	-	n	-	-	-	.	n	+	+	-	-	+	-	-	.	-	-
k̀	-	-	+	-	-	-	-	n	-	-	-	+	n	+	-	-	-	+	-	-	.	-	-
k̀ʷ	-	-	+	-	-	-	-	n	-	-	-	+	n	+	-	-	-	+	+	+	.	-	-
k̂	-	-	+	-	-	-	-	n	-	-	-	-	n	+	-	-	-	+	-	-	.	-	-
k̂͡p̂	-	-	+	-	-	-	-	n	-	-	-	-	n	+	-	+	-	+	-	+	.	-	-
k͡p	-	-	+	-	-	-	-	n	-	-	-	.	n	+	-	+	-	+	-	+	.	-	-
