GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
ʱɲ	.	-	-	-	-	+	+	-	.	-	-	-	+	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	+	-	.	-	-	-	-	-	-
ʱɾ	.	-	-	-	-	+	+	+	.	+	+	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
ʱɾ̪	.	-	-	-	-	+	+	+	.	+	+	-	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
ʱʐ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	-	.	.	+	-	-	+	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
ʷd	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ʷl	.	-	-	-	-	+	+	+	.	+	-	-	-	+	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ʷm	.	-	-	-	-	+	+	-	.	-	-	-	+	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ʷr	.	-	-	-	-	+	+	+	.	+	-	+	-	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ʷz	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ʷɟ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	-	+	-	+	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
ʷʐ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	-	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
ʷʑ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	+	+	+	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
ʷʰk	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	-	.	.	.	+	+	-	-	-	.	-	-	-	-	.	-	-	-	-	-	-
ʷʰs	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	-	+	-	.	.	.	.	.	-	-	-	-	.	-	-	-	-	-	-
ʷʰsʰ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	-	+	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
ʷʰt	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	+	-	-	-	.	.	.	.	.	-	-	-	-	.	-	-	-	-	-	-
ʷʰts	.	-	-	-	-	+	-	-	+	-	-	-	-	-	.	+	-	+	+	-	+	-	.	.	.	.	.	-	-	-	-	.	-	-	-	-	-	-
ʷʰtɕ	.	-	-	-	-	+	-	.	.	-	-	-	-	-	.	+	-	+	+	.	.	.	+	-	+	-	.	-	-	-	-	.	-	-	-	-	-	-
ʷʰɕʰ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	+	+	+	+	+	-	+	-	.	-	-	-	-	+	-	-	-	-	-	-
ʷʰʂʰ	.	-	-	-	-	+	-	+	+	-	-	-	-	-	.	+	-	+	-	-	+	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
ʷʰʈ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	+	-	+	-	-	-	-	.	.	.	.	.	-	-	-	-	.	-	-	-	-	-	-
ʼb	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
ʼd	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	-	-	.	-	-	.	-	-	.	-	-
ʼg	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	-	.	.	.	+	+	-	-	-	.	-	-	.	-	-	.	-	-	.	-	-
