GRAPHEME	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
N	.	-	-	-	-	+	+	-	.	-	-	-	+	-	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
R	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	-	-	-	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
Rʲ	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	-	-	.	+	-	+	-	.	.	.	+	-	-	-	-	-	-	-	-
R̪	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	+	-	-	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
R̪|R	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	.	.	+	-	-	-	-	-	-	-	-
R̪̥|R̥	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	.	.	-	-	-	-	-	-	-	-	-
R̪̰|R̰	.	-	-	-	-	+	+	+	.	+	.	.	-	-	-	.	.	+	+	.	-	-	.	.	.	.	.	.	.	+	-	-	+	-	-	-	-	-
a	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ae	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ae̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	.	-	-	+	-	-	-	.	.	-	-	.
ae̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	.	.	-	+	-	-	-	.	.	-	-	.
ae̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ai	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ai̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ai̯ː	.	-	.	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ao	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ao̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	.	-	-	+	-	-	-	.	.	-	-	.
ao̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	.	.	-	+	-	-	-	.	.	-	-	.
au	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
auː	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
au̜	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	.	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
au̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ay	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aɔ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aə	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	-	-	-	-	-	+	-	-	-	.	.	-	-	.
aɛ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɨ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	-	+	-	-	+	-	-	-	.	.	-	-	.
aɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɪ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɪ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aɯ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aɯ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aɵ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	-	+	-	-	+	-	-	-	.	.	-	-	.
aʊ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aʊɪ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	.	.	-	-	-	+	-	-	-	.	.	-	-	.
aʊ̃	.	-	+	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aʊ̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	-	-	-	+	-	-	-	.	.	-	-	.
aʱ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
aʲ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	.	-	-	+	-	-	-	.	.	-	-	.
aʲː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	.	-	-	+	-	-	-	.	.	-	-	.
aˀ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	+	.	.	-	-	.
aː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
aːi	.	-	+	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aːĭ	.	-	+	.	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aːi̯	.	-	.	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
aːu	.	-	+	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aːŭ	.	-	+	.	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aːu̯	.	-	.	-	.	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
aːɪ	.	-	+	-	.	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
aˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a˞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	+	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a˞ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	+	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a˞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	+	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
aˠ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	-	.	-	-	+	-	-	-	.	.	-	-	.
aˤ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
aˤː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
ã	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ãẽ̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	.	.	-	.	.	-	+	-	-	-	.	.	-	-	.
ãi	.	-	+	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ãĩ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ãi̯	.	-	.	-	-	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
ãõ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	-	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãõ̞ˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	-	.	-	.	.	.	-	+	-	-	-	.	.	-	-	.
ãũ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãu̯	.	-	.	-	-	-	+	+	.	+	-	-	.	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãũ̯	.	-	.	-	-	-	+	+	.	+	-	-	+	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
ãɛ̃	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
ãɪ̯ː	.	-	.	-	.	-	+	+	.	+	-	-	.	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	-	.	.	-	-	.
ãː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ãˤ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
ãˤː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	.	-	+	-	-	-	.	.	-	-	.
ã̈	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ã̈ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ă	.	-	+	+	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ẵ	.	-	+	+	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ä	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
äi	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
äi̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	-	.	.	-	-	.
äu̯	.	-	.	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	-	.	.	-	-	.
äu̽	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	-	.	-	-	.	-	-	+	-	-	-	.	.	-	-	.
äː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
å	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	-	-	-	-	.	.	-	-	.
a̙	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	+	-	+	-	-	-	.	.	-	-	.
a̙ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	+	-	+	-	-	-	.	.	-	-	.
a̙ˠ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	-	.	+	-	+	-	-	-	.	.	-	-	.
a̞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a̟	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	.	-	.	-	-	+	-	-	-	.	.	-	-	.
a̟i	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
a̟ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	.	-	.	-	-	+	-	-	-	.	.	-	-	.
a̟˞	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	+	+	+	+	+	-	+	.	-	.	-	-	+	-	-	-	.	.	-	-	.
ã̟	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	.	-	.	-	-	+	-	-	-	.	.	-	-	.
ã̟ĩ	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	.	.	+	-	+	-	-	+	-	-	-	.	.	-	-	.
ã̟ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	.	-	.	-	-	+	-	-	-	.	.	-	-	.
a̟̙ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	.	-	.	+	-	+	-	-	-	.	.	-	-	.
a̠	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	-	+	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a̠ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	-	+	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ä̠	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	-	+	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
ä̠ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	-	+	.	+	-	+	-	-	.	-	-	+	-	-	-	.	.	-	-	.
a̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
a̤i̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	+	-	.	.	-	-	.
a̤ṳ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	+	-	.	.	-	-	.
a̤ɯ̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	.	+	-	-	+	-	+	-	.	.	-	-	.
a̤ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
a̤ˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
ã̤	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
ã̤̈ː	.	-	+	-	+	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
ä̤	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	+	-	.	.	-	-	.
ḁ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	-	-	-	-	.	.	-	-	.
a̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	+	.	.	-	-	.
a̰ḭ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	+	-	-	+	-	-	+	.	.	-	-	.
a̰ṵ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	.	+	-	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	+	.	.	-	-	.
a̰ɪ̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	.	-	-	-	-	+	-	-	+	.	.	-	-	.
a̰ɯ̰	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	.	.	-	.	+	-	-	+	-	-	+	.	.	-	-	.
a̰ː	.	-	+	-	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	+	.	.	-	-	.
a̰ˑ	.	-	+	+	+	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	+	.	.	-	-	.
ã̰	.	-	+	-	-	-	+	+	.	+	-	-	+	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	-	-	+	.	.	-	-	.
aᴱ	.	-	+	-	-	-	+	+	.	+	-	-	-	-	-	.	.	-	.	.	.	+	-	+	-	-	.	-	-	+	+	-	-	.	.	-	-	.
b	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bg	.	-	-	-	-	+	-	-	-	-	-	-	-	-	.	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
bm	.	-	-	-	-	+	.	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
br	.	-	-	-	-	+	.	.	-	.	-	.	-	-	.	-	-	.	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bv	.	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bvʷ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	+	.	.	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bz	.	-	-	-	-	+	-	.	.	-	-	-	-	-	.	-	-	.	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bzʷ	.	-	-	-	-	+	-	.	.	-	-	-	-	-	.	.	-	.	+	-	+	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bɦ	.	-	-	-	-	.	-	.	.	-	-	-	-	-	.	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	.	-	-	-	-	-	-
bɾ	.	-	-	-	-	+	.	.	-	.	.	-	-	-	.	-	-	.	+	-	-	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bʱ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
bʱː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
bʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
bʲː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	-	-	-	-	-	-	-
bʷ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bʷː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	.	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bʷˠ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	.	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
bʼ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	+	-	-	+	-	-
bˀ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
bː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
b˞	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	+	+	+	+	+	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bˠ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	.	+	-	-	-	.	-	-	+	-	-	-	-	-	-	-	-
bˤ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
bˤː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	.	-	+	-	-	-	-	-	-	-	-
b̤	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
b̤v̤	.	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
b̤z̤	.	-	-	-	-	+	-	.	.	-	-	-	-	-	.	-	-	.	+	-	+	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
b̤ʲ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	.	+	-	+	-	.	-	-	+	-	+	-	-	-	-	-	-
b̤ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	+	-	-	-	-	-	-
b̤̥	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
b̥	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
b̥ʰ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	+	-	-	-	-	-	-
b̥ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	-	-	-	-	-	-	-	-	-
b̩	.	-	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
b̪	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	+	+	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
b̰	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	+	-	-	-	-	-
b̻	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	+	.	+	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
b͈	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
b͈ː	.	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	+	-	-	-	-
b͉	.	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	+	-	-	-
bβ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
bⁿ	.	-	-	-	-	+	-	-	-	-	-	-	.	-	+	-	-	-	.	.	.	-	.	.	.	.	.	-	-	+	-	-	-	-	-	-	-	-
c	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
cç	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
cçʰ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	+	-	-	-	-	-	-
cçʷ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	.	+	-	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
cçʷʰ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	.	+	-	+	-	+	-	+	+	-	+	-	.	-	-	-	-	+	-	-	-	-	-	-
cçʼ	.	-	-	-	-	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	+	-	-	+	-	-
cçː	.	-	-	-	+	+	-	-	+	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	-	-	-	-	-	-	-
cn̠	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	-	+	-	.	+	-	+	-	.	-	-	.	-	-	-	-	-	-	-	-
cɲ	.	-	-	-	-	+	.	-	-	-	-	-	.	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	.	-	-	-	-	-	-	-	-
cʰ	.	-	-	-	-	+	-	-	-	-	-	-	-	-	-	.	.	+	-	+	-	+	+	-	+	-	.	-	-	-	-	+	-	-	-	-	-	-
