INVENTORY	GLOTTOCODE	SEGMENTS
433	kuna1268	a b d̪ d̠ʒ e̞ f ɡ h i ɪ j k l m n ɲ ŋ o̞ r s ʃ t̪ t̠ʃ u ʊ w
434	kuni1267	a b d̪ e ɡ ɢ i k l̪|l m n̪|n ŋ p ɽ s̪|s t̪|t u ʊ z̪|z β̞
435	bord1248	a b d̪|d e̞ ɡ ɡʷ i j k kʷ l̪|l m n̪|n o̞ p ɾ̪|ɾ s̪|s t̪|t t̠ʃ u w
436	kwai1243	a e̞ i l m mb n nd ŋ ŋɡ ŋɡʷ ŋʷ o̞ ɸ s t u w x xʷ ʔ
437	kwak1269	a b ç cʰ cʼ d dɮ dz ə ɛ ɡʷ ɢ ɢʷ h i j j̰ ɟ kʷʰ kʷʼ l l̰ ɬ m m̰ n n̰ ɔ pʰ pʼ qʰ qʷʰ qʷʼ qʼ s tʰ tɬʰ tɬʼ tsʰ tsʼ tʼ u w w̰ xʷ ʔ χ χʷ
438	karo1304	a ã aː eː ɛ f h i ĩ iː j k m n̪|n oː p ɾ s s̪ ʃ t̪|t t̠ʃ ʊ ʊː x ʔ β̞
439	lakk1238	a ã aː ãː b̰ e ɛ ɛ̃ ɛː ɛ̃ː f h i iː ĩː ie̞ ĩẽ̞ j j̥ k kʰ kʲ kʲʰ kʷ kʷʰ l̪|l l̪̥|l̥ m m̥ n̪|n n̪̥|n̥ ŋ ŋʲ ŋ̥ʲ ŋʷ õ ɔː ɔ̃ː p pʰ t̪|t t̪ʰ|tʰ t̪s̪|ts t̪s̪ʰ|tsʰ u ũ uː ũː uo ɥ w ʍ ʔ β̞ θ
440	lakk1252	a aː æˤ b d̪|d e̞ˤ ɡ ɢ ɢʷ h ħ i iː j kː kʰ kʷː kʷʰ kʷʼ kʼ l̪|l m n̪|n ø̞ˤ pː pʰ pʼ qː qʰ qʷː qʷʰ qʷʼ qʼ r̪|r s̪|s s̪ː|sː ʃ ʃː ʃʷ ʃʷː t̪ː|tː t̪ʰ|tʰ t̪s̪ː|tsː t̪s̪ʰ|tsʰ t̪s̪ʷː|tsʷː t̪s̪ʷʰ|tsʷʰ t̪s̪ʷʼ|tsʷʼ t̪s̪ʼ|tsʼ t̠ʃː t̠ʃʰ t̠ʃʷː t̠ʃʷʰ t̠ʃʷʼ t̠ʃʼ t̪ʼ|tʼ u uː w x xː xʷ xʷː z̪|z ʒ ʔ χ χː χʷ χʷː
441	lele1264	a ã b d dz ɖ e ɛ ɛ̃ f ɡ ɡb h i ĩ j k kp l m n ɲ ŋ o ɔ ɔ̃ p s t ts u ũ v w
442	lugb1240	a b b̰ d̪ d̪̰ dz e ɛ ɜ f ɡ ɡb h i ɪ j j̰ k kp m n o ɔ p r ɺ s t̪ ts u ʊ v w w̰ z ʔ
443	lahu1253	a b d̪|d d̠ʒ e e̞ ɘ f ɡ ɣ h i ɨ j k kʰ l̪|l m n̪|n ŋ o ɔ p pʰ q qʰ ʃ t̪|t t̪ʰ|tʰ t̠ʃ t̠ʃʰ u v w ʔ
444	lith1251	a æ æː æi ai au ɑː b bʲ d̪|d d̪ʲ|dʲ d̪z̪|dz d̠ʒ eː ɡ ɡʲ iː ie̞ ɪ j k kʲ l lʲ m mʲ n nʲ oː p pʲ r rʲ s sʲ ʃ ʃʲ t̪|t t̪ʲ|tʲ t̪s̪|ts t̪s̪ʲ|tsʲ t̠ʃ uː ui uo ʊ v vʲ x z ʒ ʒʲ
445	lako1247	a ã b ɛ ɣ h i ĩ j k kʰ kʼ l̪|l m n̪|n o p pʰ pʼ s̪|s s̪ʼ|sʼ ʃ ʃʼ t̪|t t̪ʰ|tʰ t̠ʃ t̠ʃʰ t̠ʃʼ t̪ʼ|tʼ u ũ w x xʼ z̪|z ʒ
446	peve1243	a ai ao̞ b b̰ d d̰ dz e e̞o̞ f ɡ h ɦ i j k l ɬ ɮ m mb n nd ndz ŋ ŋɡ o p ɾ s t ts u v w z ʔ
447	luis1253	a e̞ h ɪ j k kʷ l̪ m n̪ ŋ o̞ p q qʷ r̪|r ʂ ʃ t̪ t̠ʃ ʊ v w x xʷ ʔ
448	luok1236	a æ ɒ b d d̪ð d̠ʒ e̞ f ɡ h i ɪ j k l m n ɲ ŋ o̞ p ɾ s ʃ t t̠ʃ t̪θ u ʊ w ʔ
449	lush1252	a b d dz d̠ʒ ə ɡ ɡʷ h ɪ j k kʷ kʷʼ kʼ ɬ p pʼ q qʷ qʷʼ qʼ s ʃ t tɬʼ ts tsʼ t̠ʃ t̠ʃʼ tʼ ʊ w xʷ ʔ χ χʷ
450	chiq1250	a ã b ð ɛ ɛ̃ ɣ h i ĩ j k l̪|l m n n̠ n̪d̪|nd ndz n̠d̠ʒ ɳɖʐ ŋɡ o õ p r̪|r s̪|s ʂ t̪|t ts t̠ʃ ʈʂ ʔ β
451	masa1300	a ɓ ɗ e ɛ ɠ i ɪ j ʄ k l m n ɲ ŋ o ɔ p r̥ ɾ s ʃ t t̠ʃ u ʊ w
452	cent2144	a ã ɐ ɓ ɗ̪|ɗ e ẽ ə ə̃ ɛ ɡ ɡʷ h i ĩ j j̥ j̰ k kʰ kʷ kʷʰ kʷʼ kʼ l̪|l m m̥ m̰ n̪|n n̪̥|n̥ ɲ ɲ̥ ɲ̰ o õ ɔ p pʰ R̪|R s̪|s s̪ʰ|sʰ s̪ʼ|sʼ ʃ t̪|t t̪ʰ|tʰ t̪s̪|ts t̪s̪ʰ|tsʰ t̪s̪ʼ|tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ t̪ʼ|tʼ u ũ w w̰ ʍ z̪|z ʒ ʔ
453	maxa1247	a ã e̞ ẽ̞ h i ĩ k mb nd n̠d̠ʒ ŋɡ o̞ õ̞ p t t̠ʃ ɯ ɯ̃ ʔ
454	came1252	a b bv d d̠ʒ e f ɡ h i j k l m n n̠ ŋ o ɔ p s t t̠ʃ u w
455	mbum1254	a ã b b̪ ɓ d ɗ e̞ f ɡ ɡb h i ĩ j k kp l m mb ɱv n nd n̠ʒ ɲ ŋ ŋɡ ŋmɡb o̞ p r s t u ũ v w ʒ
456	maba1277	a b d̪|d ɖ e ɛ f ɡ i j ɟ k l m n ɲ ŋ o ɔ r s ʃ t̪|t ʈ u w z ʒ ʔ
457	dizi1235	a ɐ b d̪|d d̠ʒ e̞ f ɡ h i j k kʼ l̪|l m n̪|n o̞ R̪|R s̪|s ʃ t̪|t t̪s̪ʼ|tsʼ t̠ʃ t̠ʃʼ t̪ʼ|tʼ u w z̪|z ʒ β
458	mbaa1245	a b ɓ d̪|d d̠ʒ ɗ̪|ɗ e ɛ f ɡ ɡb i j k kp l̪|l mb n̠ n̪|n n̪d̪|nd n̠d̠ʒ ŋɡ ŋmɡb o ɔ p t̪|t t̠ʃ u v w
459	mogh1245	a b d̪|d d̠ʒ ɛ f ɡ h i ʝ k l̪|l m n̪|n ŋ ɔ p q r̪|r ʀ s̪|s ʃ t̪|t t̠ʃ u w x z̪|z ʔ
460	east2328	ð ə ɛ f ɣ i j k l̪|l ʎ m n̪|n ɲ ŋ ø o̞ p pʲ ɾ̪|ɾ s̪|s s̪ʲ|sʲ ʃ t̪|t t̪ʲ|tʲ t̪s̪|ts t̠ʃ u ʌ x y z̪|z ʒ β
461	sanm1295	a ã ð e̞ ẽ̞ h i ĩ k kʷ l̪|l ŋ o̞ õ̞ p r̪|r s̪|s ʃ t̪|t t̠ʃ u ũ ʒ ʔ β
462	tuuu1240	a b d̪|d d̪z̪|dz d̠ʒ e̞ ɡ ɢ h i ʝ k l̪|l m n̪|n ŋ o̞ p q r̪|r s̪|s ʃ t̪|t t̠ʃʰ u v x z̪|z
463	manc1252	a b d̪ d̠ʒ e̞ f ɡ i j k l̪ m n̪ ŋ ø o̞ ɵ̞ p r̪|r s̪ ʃ t̪ t̠ʃ u x
464	morb1239	a e̞ h i j k m mb n̪|n n̪d̪|nd ŋɡ o̞ R̪|R s̪|s t̪|t u w ʔ β
465	moro1285	a b d̪ ð d̠ʒ ɖ e ɘ ɤ f ɡ i j k l m n ɲ ŋ o p r ɺ̠ s t̪ t̠ʃ ʈ u w
466	mull1237	a ɛ i j k l l̠ m n n̠ ŋ ø̠ p r ɹ t t̠ ʊ w
467	maun1240	a ɛ ɣ i j k l ɭ m n n̠ ɳ ŋ ɔ p r ɹ ɽ t t̠ ʈ u
468	dadi1250	a ã e̞ ẽ̞ h i ĩ j k kʰ m n o̞ õ̞ p pʰ ɾ s t tʰ u ũ w
469	west2600	a b d̪ d̠ʒ e̞ ə ɡ h i k l̪|l m n̠ n̪ ŋ o̞ p ɸ r̪|r s̪|s t̪ t̠ʃ u
470	marg1265	a b ɓ d dz d̠ʒ ɗ ɛ f ɡ ɣ ɨ j k l ɬ ɮ m n ŋ o̞ p r s ʃ t ts t̠ʃ v w x z ʒ ʔ
471	mara1404	a b d ɡ h i ɨ k l m n ŋ o̞ p ɾ t ʔ
472	toto1305	a æ d̪ e̞ ə ɡ i ɨ j k m n o ɔ p s̪ ʃ t̪ ts͇ u v ʒ ʔ
473	murl1244	a b ɓ c d̪|d ɗ̪|ɗ e̞ ɡ h i j ɟ k l̪|l m n̪|n ɲ ŋ o̞ p r̪|r ʃ t̪|t u w θ
474	murr1258	a b d d̪ ɖ ɛ ɡ i j k l ɭ m n n̪ ɳ ŋ p r ɽ t t̪ ʈ ʊ w
475	kala1377	a b d d̪ e̞ ə ɡ i j k l m n n̠ ŋ o̞ p r s t t̪ u w z
476	nucl1310	a æ̃ b ð d̪|d d̠ʒ e ẽ̞ĩ ə ɛ ɡ h i ɪ̃ j k kʰ l̪|l l̪̥|l̥ m m̥ n̪|n n̪̥|n̥ ɲ ɲ̥ ŋ ŋ̥ o õ̞ũ ɔ p pʰ s̪|s s̪ʰ|sʰ ʃ t̪|t t̪ʰ|tʰ t̠ʃ t̠ʃʰ u ʊ̃ w ʍ z̪|z ʔ θ
477	pira1253	a b ɡ h i k o̞ p s̪|s t̪|t ʔ
478	nucl1240	a ã b ɓ d ɛ ɛ̃ f ɡ ɡb h i ĩ j k kp l m n ŋʷ o̞ õ̞ ɔ p r s ʃ t u ũ v w z ʒ
479	movi1243	a ɓ ɗ e̞ h i j k kʷ l ɬ m n o̞ p ɾ ʂ t t̠ʃ u w ʔ β
480	sout2994	a ã a̰ ã̰ ɓ ɗ̪|ɗ e̞ ẽ̞ e̞̰ ẽ̞̰ h hˀ i ĩ ḭ ḭ̃ j k kʰ kʷ kʷʰ kʷʼ kʼ n n̪̰|n̰ o̞ õ̞ o̞̰ õ̞̰ p pʰ pʼ ɺ̠ ɺ̠̰ s sˀ t t̪ʰ|tʰ tʼ u ṵ w ʔ
481	minn1241	a b d̪|d d̪z̪|dz d̠ʒ e ɡ h i k kʰ m n̪|n ŋ o ɔ p pʰ s̪|s t̪|t t̪ʰ|tʰ t̪s̪|ts t̪s̪ʰ|tsʰ u ʔ
482	nama1264	a ã e ə h i ĩ k kxʰ kǀ͓ kǀ͓ˠʰ kǁ͓ kǁ͓xʰ kǃ kǃ̠ kǃxʰ kǃ̠xʰ m n̪ ŋǀ͓ ŋ̥ǀ͓ʰ ŋ̥ǀ͓ˀ ŋǁ͓ ŋ̥ǁ͓ʰ ŋ̥ǁ͓ˀ ŋǃ ŋǃ̠ ŋ̥ǃ ŋ̥ǃ̠ʰ ŋ̥ǃˀ ŋ̥ǃ̠ˀ o p r s t̪ t̪s̪ʰ u ũ x ʔ
483	naas1242	a b ɛ i k m n̪|n o p ɾ̪|ɾ t̪|t u ʔ
484	nava1243	a ã aː ãː d̪ɮ̪|dɮ ɛ ɛ̃ ɛː ɛ̃ː ɣ h iː ĩː ɪ ɪ̃ j k kʰ kʷʰ kʼ l̪|l ɬ̪|ɬ m n̪|n oː õː ɔ ɔ̃ p s̪|s ʃ t̪|t t̪ʰ|tʰ t̪ɬ̪|tɬ t̪ɬ̪ʼ|tɬʼ t̪s̪|ts t̪s̪ʰ|tsʰ t̪s̪ʼ|tsʼ t̠ʃ t̠ʃʰ t̠ʃʼ t̪ʼ|tʼ w x z̪|z ʒ ʔ
485	naxi1245	æ ɑ b ɕ d d̪z̪ dʑ ɖʐ ə ə˞ ɛ f ɡ ɣ i k kʰ l m mb n nd n̪d̪z̪ ndʑ ɲ ɳɖʐ ŋɡ o̞ p pʰ s̪ ʂ t tɕ tɕʰ tʰ t̪s̪ t̪s̪ʰ ʈʂ ʈʂʰ u ɯ ɯ͓ v y z̪ ʐ ʑ χ
486	nort2957	a ɛ i j k kʷ l m n̪ o̞ p ɸ̞ s ʃ t̪ tɬ ts t̠ʃ ʔ β̞
487	ndut1239	a b ɓ c d̪|d ɗ̪|ɗ e ɛ ɘ f ɡ ɣ h i j ɟ k l̪|l m mb n̪|n n̪d̪|nd ɲ ɲɟ ŋ ŋɡ ɔ p R̪|R s̪|s t̪|t u w ʔ
488	east1436	a ã b b̤ d̪ d̪̤ dz dz̤ ɖ ɖ̤ e̞ ẽ̞ ə ə̃ ɡ ɡ̤ h i ĩ k kʰ l m n̪ ŋ o̞ õ̞ p pʰ ɾ s t̪ t̪ʰ ts tsʰ ʈ ʈʰ u ũ
489	newa1246	a̟ ã̟ b b̤ d̪|d d̪̤|d̤ d̪z̪|dz d̪z̪̤|dz̤ ɤ̞ ɤ̞̃ ɡ ɡ̤ ɦ i ĩ k kʰ l̪|l l̪̤|l̤ m m̤ n̪|n n̪̤|n̤ p pʰ s̪|s t̪|t t̪ʰ|tʰ t̪s̪|ts t̪s̪ʰ|tsʰ u ũ
490	nezp1238	a æ h ɪ j j̰ k kʼ l l̰ ɬ m m̰ n̪ n̪̰ ɔ p pʼ qʼ qχ s t t̪ tʼ t̪ʼ ɯ w w̰ x ʔ
491	ngiz1242	a aː b b̰ c d d̰ e̞ː f ɡ ɡʷ h i j ɟ ɟ̰ k kʷ l ɬ ɮ m mb n nd ɲ ŋɡ ŋɡʷ o̞ː p r ɾ s ʃ t u v w z ʒ
492	noon1243	a aː b d̪|d d̠ʒ e̞ː ə ɛ ɛː f ɡ i iː j k l̪|l m n̪|n ɲ ŋ o oː ɔ ɔː s̪|s ʃ t̪|t t̠ʃ uː ɰ ʊ w ʔ
493	niel1243	a ã b ɓ d d̠ʒ ɗ e̞ ẽ̞ ə ə̃ ɡ h i ĩ ɨ j k l m mb n nd n̠d̠ʒ ŋɡ o̞ õ̞ p ɾ s t t̠ʃ u ũ w ʔ
494	ngan1291	a a̟ b c ð d̪|d e̞ ə ɡ i ɨ j ɟ k kx l̪|l ʎ m n̪|n ɲ ŋ o̞ p r̪|r s̪|s t̪|t u y ʔ
495	nucl1633	a b d̪ e̞ ɤ̞ ɡ h i ɨ k m n̪ ŋ p R̪ s̪ t̪ ɯ
496	gily1242	a ɛ ɣ h ɪ ɪe̞ j k kʰ l m n n̠ ŋ ɔ p pʰ ɸ q qʰ r r̥ ʁ s t t̠ tʰ t̠ʰ u ʌ w x z β χ
497	aona1235	a cç e i j k l ɭ͓ m n ŋ o p s t u ɯ w z ʔ
498	nort2952	a ɓ cʰ cʼ ɗ e̞ h i ɨ j kʰ kʼ l m n o̞ pʰ pʼ s tʰ tʼ u w
499	norw1259	a æ æː æi æʉ ai ɑː ɒ̝ b ç d̪ ɖ e̞ eː ə f ɡ h iː ɪ j kʰ l ɭ m n̪ ɳ ŋ ø̞ː o̞ː œ øy ɔy pʰ ɾ s ʃ t̪ʰ ʈʰ uː ʉ ʉː ʊ ʋ yː ʏ
500	nuuc1236	a ɛ h ħ i j j̰ k kʷ kʷʼ kʼ ɬ̪|ɬ m m̰ n̪|n n̪̰|n̰ o ɔ p pʼ q qʷ qʷʼ qʼ s ʃ t̪ t̪ɬ̪|tɬ t̪ɬ̪ʼ|tɬʼ ts tsʼ t̠ʃ t̠ʃʼ t̪ʼ w w̰ x xʷ ʔ ʔˤ χ χʷ
501	nara1262	a b d̪|d d̠ʒ e̞ f ɡ h i j k l̪|l m n̪|n ŋ o̞ r̪|r s̪|s ʃ t̪|t u w
502	nung1283	ă a̟ aɯ b̰ d̪̰|d̰ e̞ f h i ɪ̆ j k kʰ l̪|l ɬ̪|ɬ m n̪|n ŋ o̞ p pʰ ʃ t̪|t t̪ʰ|tʰ t̠ʃ t̠ʃʰ u ɯ ɯ̞̆ ʊ̆ w ʔ
503	nung1290	a ɐ ɪ j k l l̪ ɭ m n n̠ n̪ ɳ ŋ p r ɻ t t̠ t̪ ʈ ɯ̞ w
504	amas1236	a b d d̪ e ɛ ɡ i j ɟ k l m n ɲ ŋ o ɔ R ɺ s t t̪ u w
505	nyan1313	a ɓ c ɗ e ɛ ɠ i j ʄ k l ɬ m n ɲ ŋ o ɔ p r s̪ t u w
506	ocai1244	a ã b dʲ dz ɛ ɡ h i ĩ k m mː n nː ɲ ɲː o õ p ɸ ɾ s ʃ t tʲ ts t̠ʃ ɯ ɯ̃ x ʒ ʔ β
507	ogbi1239	a ɐ b ɓ d̪|d ɗ̪|ɗ e ɛ f ɡ ɡb ɣ i ɪ j k kp l̪|l m n̪|n n̪ʷ|nʷ ɲ o ɔ p R̪|R s̪|s t̪|t u ʊ v w z̪|z β
508	east2542	a aː ãː ɛː ɛ̃ː ʰk ʰp ʰs̪|ʰs ʰʃ ʰt ʰt̠ʃ iː ĩː ɪ k l̪|l m n oː õː p s̪|s ʃ t t̠ʃ ʊ ʔ
509	toho1245	a b d̪ d̠ʒ ɖ ɡ h i ɨ j k m n̠ n̪ ɔ p ɺ̠ s̪ ʂ t̪ t̠ʃ u w ʔ
510	ormu1247	a̟ b d̪|d d̪z̪|dz d̠ʒ e f ɡ h ɪ j k l̪|l m n̪|n o ɔ p r̪|r ʁ s̪|s ʃ t̪|t t̪s̪|ts t̠ʃ ʊ x z̪|z ʒ β̞ χ
511	paco1243	a æ ɒ b̰ d̠̰ d̰ e ɛ ɘ ɜ h i iə ɨ ɨə j k l m n n̠ ŋ o ɔ p r ʃ t t̠ u uə ʔ β̞
512	pech1241	a ã b e̞ ẽ̞ h i ĩ j k kʷ l̪|l m n̪|n ɲ o̞ õ̞ p r̪|r ɾ̪|ɾ s̪|s ʃ t̪|t u ũ w w̃ ʔ
513	paez1247	a ã ç ɛ ɛ̃ ɣ h i ĩ j k m mb n nd ndʲ nz n̠ʒ ɲ ŋɡ p ɸʲ ɺ ɺʲ ɾ s ʃ ʃʲ t tʲ ts t̠ʃ u ũ w ʔ β
514	enap1235	a ã e̞ ẽ̞ ə̃ ɤ̞ i ĩ j k m n̪|n o̞ õ̞ p R̪|R t̠ t̪|t t̪s̪|ts t̠ʃ u ũ ɯ w ʔ
515	bouy1240	a aː b c cʰ d̪|d ə ɛ f h i ia j k kʰ l̪|l m n̪|n ɲ ŋ ɔ p pʰ R̪|R s̪|s t̪|t t̪ʰ|tʰ u ua ɯ ɯa w ʔ θ
516	west2369	a̟ ɑ b d̪ d̠ʒ e f ɡ ɢ h i j kʰ l m n̪ o pʰ r s ʃ t̪ʰ t̠ʃ u v w z ʒ ʔ χ
517	plat1254	a b d̪ d̪z̪ ɖr̠͓ e̞ f ɡ h i j k l̪|l m n̪|n o p r̪|r s̪|s t̪ t̪s̪ ʈɹ̠̥ v w z̪|z
518	sout2982	a b d ɛ f h ɪ j k kʼ l̪|l m n̪|n ɔ p pʼ q qʼ ɾ̪|ɾ s̪|s ʃ t t̪ ts tsʼ tʼ t̪ʼ ʊ w x ʔ χ
519	pohn1238	a ɛ ɪ j k l̪ m mʷ n̪ ŋ o ɔ p pʷ r s t̪ ʈʂ u w
520	para1301	a a̤ ai a̤i̤ au a̤ṳ aɯ a̤ɯ̤ b b̤ d̪|d d̪̤|d̤ d̠ʒ d̠ʒ̤ e e̤ ɛ ɛ̤ ɤ ɤ̤ ɤi ɤ̤i̤ f ɡ ɡ̤ i i̤ ia i̤a̤ iɛ i̤ɛ̤ io̞ iu i̤ṳ k kʰ l̠ l̠̤ l̪|l l̪̤|l̤ m m̤ n̠ n̠̤ n̪|n n̪̤|n̤ ŋ ŋ̤ o o̤ o̞i o̤i̤ ɔ ɔ̤ ɔi ɔ̤i̤ p pʰ ʃ t̪|t t̪ʰ|tʰ t̠ʃ t̠ʃʰ u ṳ ua ṳa̤ ui ṳi̤ ɯ ɯ̤ ɯi ɯ̤i̤ v v̤ ʒ ʒ̤
521	cent1973	a ɑː b d̪ d̪z̪ d̠ʒ ɖ e̞ː ə f ɡ h i j k l̠ m n̪ ɳ o̞ː p r ɺ̠ ʁ s ʂ ʃ t̪ t̪s̪ t̠ʃ ʈ u w z ʐ ʒ β χ
522	paiw1248	a b d̪|d d̪ʲ|dʲ ɖ ə ɡ i j k l̪ʲ|lʲ m n̪|n ŋ p q r̪|r ɺ̠ ʂ t̪|t t̪ʲ|tʲ ʈʂ u v ʐ ʔ
523	pwon1235	a a̟ ai aɨ au ɓ ɗ e ɘ fʷ ɣ h i ɨ ʝ k kʰ l m n ɲ ŋ o ɔ p pʰ r s̪ ʃ t tʰ t̠ʃ t̠ʃʰ u vʷ x ʔ
524	sout2991	a ð ɛ ɣ h ɪ j k kʰ kʼ l̪|l ʎ m n̪|n ɲ ɔ p pʰ pʼ ɸ q qʰ qʼ r̪|r ɾ̪|ɾ s̪|s ʃ t̪|t t̪ʰ|tʰ t̠ʃ t̠ʃʰ t̠ʃʼ t̪ʼ|tʼ ʊ w β
525	quil1240	a æ b d ɡ h i j k kʷ kʷʼ kʼ l ɬ p pʼ q qʷ qʷʼ qʼ s ʃ t tɬ tɬʼ ts tsʼ t̠ʃ t̠ʃʼ tʼ u w x xʷ ʔ χ χʷ
526	resi1247	a b d dʲ dz d̠ʒ ɛ ɡ h i j k kʰ m m̥ n n̥ ɲ ɲ̥ ɔ p pʰ ɸ s ʃ t tʰ tʲ ts tsʰ t̠ʃ t̠ʃʰ ɯ w ʔ
527	roma1327	a b d̪ d̠ʒ e e̞a e̞o̞ ə f ɡ h i ɨ j k l̪ m n̪ o o̞a p r̪ s̪ ʃ t̪ t̪s̪ t̠ʃ u v w z̪ ʒ
528	roto1249	a ᴅ e̞ ɡ i k o̞ p t u β
529	waim1251	a b e̞ h i k m n̪ o̞ p ɾ̪ t̪ u ʔ
530	russ1263	a b bʲ d̪ d̪ʲ ɛ f fʲ ɡ i j k kʲ l̪ˠ l̪ʲ m mʲ n̪ n̪ʲ ɔ p pʲ r̪ r̪ʲ s̪ s̪ʲ ʃˠ t̪ t̪ʲ ts t̠ʃ u v vʲ x z̪ z̪ʲ ʒˠ
531	rutu1240	a b d̪|d d̪z̪|dz d̠ʒ d̠ʒʷ e̞ ɡ ɡʷ ɢ ɢʷ ɢʷˤ ɢˤ ɣ h ħ i ɨ j kʰ kʷʰ kʷʼ kʼ l̪|l m n̪|n pʰ pʼ qʰ qʷʰ qʷʼ qʷˤʰ qʷˤʼ qʼ qˤʰ qˤʼ r̪|r ʁ ʁʷ ʁʷˤ ʁˤ s̪|s s̪ʷ|sʷ ʃ t̪ʰ|tʰ t̪s̪ʰ|tsʰ t̪s̪ʷʰ|tsʷʰ t̪s̪ʷʼ|tsʷʼ t̪s̪ʼ|tsʼ t̠ʃʰ t̠ʃʷʼ t̠ʃʼ t̪ʼ|tʼ u x xʷ z̪|z ʔ ʔˤ β̞ χ χʷ χʷˤ χˤ
532	sand1273	a b d dɮ dz e̞ f ɡ ɡǀ͓ ɡǁ͓ ɡǃ̠ h i i̥ j k kʰ kʼ kǀ͓ kǀ͓ʰ kǀ͓ˀ kǁ͓ kǁ͓ʰ kǁ͓ˀ kǃ̠ kǃ̠ʰ kǃ̠ˀ l ɬ m n ŋ ŋǀ͓ ŋǁ͓ ŋǃ̠ o̞ p pʰ pʼ ɾ s t tʰ tɬ tɬʼ ts tsʰ tsʼ tʼ u u̥ w x ʔ
533	sang1328	a ã b ɓ d̪|d e ɛ ɛ̃ f ɡ ɡb h i j k kp l m mb ɱv n̪|n n̪d̪|nd n̠ʒ ŋɡ ŋmɡb o ɔ ɔ̃ p ɺ̠ ʃ t̪|t u ũ v w ʒ
534	yaku1245	a b d̪|d d̠ʒ ɛ f ɡ i ie̞ j j̃ k l̪ˠ|lˠ m n̪ ɲ ŋ œ ɔ p r̪|r s̪ ʃ t̪|t t̠ʃ u uo ɯ ɯa v y yø̞ z̪ ʒ
535	seda1262	a a̰ b̰ d̪̰|d̰ e ḛ ɛ ɛ̰ h i ḭ j j̥ j̰ k kʰ l̪|l l̪̥|l̥ l̪̰|l̰ m m̥ m̰ mb n̪|n n̪̥|n̥ n̪̰|n̰ n̪d̪|nd n̠d̠ʒ ɲ ɲ̥ ɲ̰ ŋ ŋ̥ ŋ̰ ŋɡ o o̰ ɔ ɔ̰ p pʰ r̪|r r̪̥|r̥ r̪̰|r̰ s̪|s ʃ t̪|t t̪ʰ|tʰ t̠ʃ u ṵ w w̰ ʍ ʔ
536	sene1264	a æ b d̪z̪|dz e ɛ̃ h i j k m n̪|n o̞ ɔ̃ s̪|s t̪|t u w ʔ
537	ceba1235	a ã b d̪|d d̪ʲ|dʲ e ɛ ɛ̃ f ɡ ɡb i ĩ j k kp l̪|l m n̪|n ɲ ŋ o ɔ ɔ̃ p s̪|s s̪ʲ|sʲ t̪|t t̪ʲ|tʲ u ũ v w z̪|z z̪ʲ|zʲ ʔ
538	selk1253	a a̟ aː a̟ː e̞ e̞ː ɤ̞ ɤ̞ː ɣ iː j k l̪|l l̪ʲ|lʲ m n̪|n ɲ ŋ o̞ ø̞ː o̞ː p q R̪|R s̪|s ʃ t̪|t t̪ʲ|tʲ ʈʂ u uː w y yː
539	koyr1242	a ã b d e̞ ẽ̞ f ɡ i j k l m n ŋ o õ R s t u ũ w z
540	nucl1632	a̟ d̪|d e ə ɛ f h i j k m n̪|n ɔ p t̪|t u w
541	nina1238	a ã e̞ ẽ̞ ə ə̃ h i ĩ j k m n̪|n o̞ õ̞ p ɾ̪|ɾ s̪|s ʃ t̪|t t̪ʰ|tʰ t̠ʃ ɯ ɯ̃ w
542	tach1250	æ b d̪|d d̪ˤ|dˤ f ɡ ɣ h ħ i j k kˤ l̪|l l̪ˤ|lˤ m n̪|n r̪|r r̪ˤ|rˤ s̪|s s̪ˤ|sˤ ʃ t̪|t t̪ˤ|tˤ u w x z̪|z z̪ˤ|zˤ ʒ ʕ
543	shus1248	a ə ɛ h i j j̰ k kʷ kʷˀ kˀ l̪|l l̪̰|l̰ ɬ̪|ɬ m m̰ n̪|n n̪̰|n̰ ɔ p pˀ q qʷ qʷˀ qˀ ʁ̞ ʁ̞ʷ ʁ̞̰ʷ ʃ t̪|t t̪ɬ̪ˀ|tɬˀ t̠ʃ t̠ʃˀ u ɰ ɰ̰ ʌ w w̰ x xʷ ʔ χ χʷ
544	shas1239	a e̞ h i j k kʼ m n̪|n p pʼ R̪|R s̪|s t̪|t t̠ʃ t̠ʃʼ t̪ʼ|tʼ u w x ʔ
545	sinh1246	a̟ aː æː ɑ b cç d̪ ɖ e̞ eː ə əː ɡ ɦ iː ɪ j ɟʝ k l m n ɲ ŋ o̞ oː p ɸ ɾ s ʃ t̪ ʈ uː ʊ ʋ
546	epen1239	a ã b d e ẽ ɡ h i ĩ ɨ ɨ̃ ɨ̞ ɨ̞̃ j k kʰ o õ p pʰ r ɾ s t tʰ t̠ʃ u ũ ʔ β̞
547	sout2985	a ɛ h i ɨ j k l m n ŋ ɔ p s̪ ʃ t t̪ t̠ʃ u w ʔ
548	sali1298	a ã b d d̠ʒ e̞ ẽ̞ ɡ ɡʷ h i ĩ k kʷ l m n n̠ o̞ õ̞ p ɸ r ɾ s t t̠ʃ u ũ x ʔ β
