INVENTORY	GLOTTOCODE	SEGMENTS
14	cent1989	a̟ a̟̙ː ɒ ɒː ɓ ɗ e̘ː ei̙ ə ə̘ː əɨ̙ ɛ ɛ̘ː h iː ɪ ɪ̈ ɨː j k kʰ lˠ m n ɲ ŋ o̘ː ou̙ ɔ ɔ̘ː p pʰ ɽ s t tʰ t̠ʃ t̠ʃʰ uː ʊ ʋ ʔ
15	viet1252	˦˥ ˦˥̰ ˧ ˨˩ ˨˩̤ ˩̰ a̟ː ɐ ɓ c ɗ e ɛ ɤ f ɣ h ɪ j k l m n ɲ ŋ o ɔ s t tʰ ɯ̞ ʊ v ʌ ʌ̯ w x z ʔ
16	mand1415	˥ ˥˦ ˧˥ ˧˨˥ a a˞ a̟˞ ɑ̃˞ ç cç cçʰ ə˞ ə̃˞ ɤ ɤ˞ f i j k kʰ l m n ŋ p pʰ s ʂ t tʰ ts tsʰ ʈʂ ʈʂʰ u u˞ ɥ ɰ w w˞ y ʐ χ
17	wuch1236	˥ ˥˧˥ ˦ a æ̃ b̤̥ d̤̥ ə̟ f ɡ̤̥ h ɦ i ĩ j k kʰ l m m̩ n ŋ ŋ̩ o̞ õ̞ p pʰ ɻ s t tʰ ts tsʰ tz̤̥ u v w y z z̞̩ ʔ
18	hakk1236	˥ ˧ ˧˩ ˩ a æ ɛ f h i j k̟ k̟ʰ l m̩ mb nd ŋ̩ ŋɡ̟ ɔ p pʰ s t tʰ ts tsʰ u w z̞̩ ʔ
19	yuec1235	˥ ˥˦ ˧ ˧˩̰ ˩ a æ f h i j k kʰ kʷ kʷʰ l l̥ m m̩ n ŋ ŋ̩ ɔ p pʰ ʃ t tʰ t̠ʃ t̠ʃʰ u w
20	iumi1238	˥˦ ˦ ˧˨ˤ ˧˩ ˨˧ ˩̰ a aː æ b c cʰ d dz e f ɡ h i j j̥ ɟ k kʰ l l̥ m m̩ m̥ n n̩ n̥ ɲ ɲ̥ ŋ ŋ̥ o ɔ p pʰ s t tʰ ts tsʰ u w ʍ ʔ
21	nyis1236	˥˦ ˩˨ ɑ b d ɛ ɡ ɦ i i̥ j k l̪ m n ŋ ɔ p r s t u u̥ ɯ ʌ x ʔ
22	nucl1310	˥ ˥̰ ˩ a æ̃ b d ð d̠ʒ e eĩ ə ɛ ɡ h i ɪ̃ j k kʰ l l̥ m m̥ n n̥ ɲ ɲ̥ ŋ ŋ̥ o oũ ɔ p pʰ ɾ s sʰ ʃ t tʰ t̠ʃ t̠ʃʰ u ʊ̃ w ʍ z ʔ θ
23	lahu1253	˥˦ ˧ ˧˦ ˧˨ ˩ a b d d̠ʒ e e̞ ɘ f ɡ ɣ h i ɨ j k kʰ l m n ŋ o ɔ p pʰ q qʰ ʃ t tʰ t̠ʃ t̠ʃʰ u v w ʔ
24	garo1247	a b d dz e̞ ɡ h i kʰ l m mˀ n nˀ ŋ ŋˀ o pʰ ɾ ɾˀ s̻ tʰ ts ʉ w ʔ
25	sgaw1245	˦˥ ˧˨̤ ˧˩ a ɓ c cʰ ɗ e ɛ ɜ ɣ ɦ i ɪ̈ j k kʰ l m n ɲ ŋ o ɔ p pʰ ɹ s sʰ ʃ t tʰ u w x z ʔ θ
26	lakk1238	˥ ˥˦ ˧˨˥ ˨˧ ˨˧˩ ˩ a ă ẵ ã ĕ ɛ ɛ̆ ɛ̆̃ ɛ̃ f h i ĭ ĩ ie iẽ j j̥ k kʰ kʲʰ kʷ kʷʰ l ɬ m m̥ n n̥ ŋ ŋʲ ŋ̥ʲ ŋʷ ŏ̃ ɔ ɔ̃ p pʰ t tʰ ts tsʰ u ŭ ŭ̃ ũ uo ɥ w ʍ ʔ ˀb θ
27	thai1261	˥ ˥̰ ˧ ˧˩ ˨˧ ˩ a aː æ æː b cç cçʰ d eː ɛ ɘ ɘː f h iː ɪ ɨ ɨː j k kʰ l m n ŋ o oː ɔ ɔː p pʰ ɾ s t tʰ uː ʊ w ʔ
28	bouy1240	˥ ˥˩ ˦ ˧ ˩ ˩˥ a aː b c cʰ d ə ɛ f ɡ h i j k kʰ l m n ɲ ŋ ɔ p pʰ r s t tʰ u ɯ v ʔ θ
29	west2650	˧ ˩ a b c cʰ d e ə ɛ h i ɨ j k kʰ l m n ɲ ŋ o ɔ p pʰ ɾ ʂ ʃ t tʰ ʈ ʈʰ u w ʔ
30	atay1247	a ə̆ ɛ ɣ ħ i iː j k l m n ŋ ɔ p q ɾ s t ts u uː w x ʒ ʔ β
31	plat1254	a b d dz ɖr̠ e̞ f ɡ h i j k l m mb mp n nd ndz nt nts ɳɖr̠ ɳʈr̠̥ ŋɡ ŋk ɔ p ɾ s t ts ʈr̠̥ ʊ v w z
32	stan1306	a b c d e ə f ɡ h i ɟ k l m n ɲ ŋ ɔ p r s ʃ t u v x z
33	bata1289	a b d d̠ʒ ɛ ɡ h i j k l m n ŋ o p ʀ s t u w
34	saba1265	a aː b b͈ d d͈ d̠ʒ d̠͈ʒ ə ɛ ɡ h i ɨ j k k͈ l l̩ l̥ m m̩ m̥ n n̩ n̥ ɲ ɲ̩ ɲ̥ ŋ ŋ̩ ŋ̥ ɔ p p͈ r̩ ɾ s sː ʂ͇ t t͈ t̠ʃ u w ʔ
35	sund1252	a b d d̠ʒ ə ɛ ɡ h i ɨ j k l m n ɲ ŋ o p ɾ s t̪ t̠ʃ u w ʔ
36	java1254	a b̤̥ d̪̤̥ d̤̥ e ə ɛ ɡ̤̥ h i j k l l̤ m n ɲ ŋ o ɔ p r s t t̪ ts tz̤̥ u w ʔ
37	taga1270	aː b d e eː ə f ɡ h iː ɪ j k l m n ŋ o oː p ɾ s t t̠ʃ uː ʊ w ʔ
38	cham1312	æ ɒ b bː d dː dz e f ɡ ɡː h i j k kː l lː m mː n nː ɲ ŋ o pː pʰ ɻ s sː t tː ts u w ʔ
39	iaai1238	a aː æ æː b bʷ d ð d̠ʒ ɖ e eː ɛ ɛː f ɡ h i iː k l l̥ m m̥ mʷ m̥ʷ n n̥ ɲ ɲ̥ ŋ ŋ̥ o ø oː œ ɔ ɔː p ɸ ɹ s t t̠ʃ ʈ u uː w ʍ x y θ
40	kali1299	a aː e̞ e̞ː ɡɣ h i iː k l m mb n nd ŋ ŋɡ o̞ o̞ː p r ɾ s t u uː ʍ ʔ β
41	adze1240	a aː b d dz f ɡ h i iː j kʰ m n ŋ o oː pʰ r s tʰ tsʰ ɯ ɰ ʔ
42	maor1246	ɑ ɑː ɛ ɛː f h i iː k m n ŋ o̞ oː p ɾ t u uː w
43	hawa1245	a aː eː ɛ h i iː k l m n o oː p s u uː w ʔ
44	anta1253	a aː i iː j k l l̻ ɭ m n n̻ ɳ ŋ p ɻ ɾ t t̻ ʈ uː ʊ w
45	nyan1301	a aː eː iː ɪ j k l l̻ ɭ m n n̻ ɳ ŋ ŋʷ p r ɻ t t̻ ʈ uː ʊ w xʷ ʔ
46	kunj1245	a c cʰ ð ɛ f ɣ ɪ j k kʰ l m n n̻ ɲ ŋ o̞ p pʰ r̥ ɻ t t̻ tʰ t̻ʰ ʊ w
47	mara1386	a æ ə i j k kː l m mː n nː ɲ ŋ p pː r ɹ t tː t̠ʃ t̠ʃː ʊ w
48	maun1240	a ɛ ɣ i j k l ɭ m n n̻ ɳ ŋ ɔ p r ɻ ɽ t t̻ ʈ u w ʔ
