GLOTTOCODE	NAME	FAMILY	MACROAREA	LATITUDE	LONGITUDE
dagi1241	Dagik	Narrow Talodi	Africa	10.583	29.9404
daha1245	Dahalo	Afro-Asiatic	Africa	-2.1843	40.37
dakp1242	Dakpakha	Sino-Tibetan	Eurasia	27.3762	91.8245
dalo1238	Daloa Bété	Atlantic-Congo	Africa	6.69281	-6.63944
dang1274	Dangaleat	Afro-Asiatic	Africa	12.1517	18.385
dani1285	Danish	Indo-European	Eurasia	54.8655	9.36284
dann1241	Dan	Mande	Africa	7.22812	-8.24535
darf1239	Dar Fur Daju	Dajuic	Africa	12.2598	25.3127
dark1243	Darkhat	Mongolic	Eurasia	50.623	99.4449
darl1243	Paakantyi	Pama-Nyungan	Australia	-32.7021	142.695
darm1243	Darma	Sino-Tibetan	Eurasia	29.8629	80.5439
daun1234	Daungwurrung	Pama-Nyungan	Australia		
daur1238	Dagur	Mongolic	Eurasia	48.0	124.0
dawr1236	Dawro	Ta-Ne-Omotic	Africa	6.95	37.0
daww1239	Dâw	Nadahup	South America	-0.1177	-67.2934
daza1242	Dazaga	Saharan	Africa	15.7358	15.8517
defa1248	Defaka	Ijoid	Africa	4.58451	7.50186
dege1246	Degema	Atlantic-Congo	Africa	4.73373	6.80991
degg1238	Deg	Atlantic-Congo	Africa	8.43846	-2.28724
deni1241	Deni	Arawan	South America	-6.74962	-67.5029
deny1238	Denya	Atlantic-Congo	Africa	5.97237	9.39989
dera1245	Dera (Indonesia)	Senagi	Papunesia	-3.52309	140.947
dera1248	Dera (Nigeria)	Afro-Asiatic	Africa	10.072	12.0256
desa1247	Desano	Tucanoan	South America	0.58157	-69.4955
dghw1239	Dghwede	Afro-Asiatic	Africa	11.05751	13.77847
dhal1245	Dhalandji	Pama-Nyungan	Australia	-22.196	114.937
dhal1246	Dhalwangu	Pama-Nyungan	Australia		
dhan1270	Dhangu	Pama-Nyungan	Australia	-11.9493	135.752
dhar1247	Dhargari	Pama-Nyungan	Australia	-24.0601	114.847
dhar1248	Dharumbal	Pama-Nyungan	Australia	-23.307	150.593
dhim1246	Dhimal	Sino-Tibetan	Eurasia	26.6283	88.3798
dhiv1236	Dhivehi	Indo-European	Eurasia	1.928498	73.54433
dhud1236	Dhudhuroa	Pama-Nyungan	Australia	-36.95881441	147.0450379
dhur1239	Dhurga	Pama-Nyungan	Australia	-35.412	150.134
dhuw1249	Dhuwal	Pama-Nyungan	Australia	-12.7825	136.008
dibo1245	Dibole	Atlantic-Congo	Africa	1.07773	17.2305
didi1258	Didinga	Surmic	Africa	4.21489	33.6869
dido1241	Tsez	Nakh-Daghestanian	Eurasia	42.2646	45.8096
dier1241	Dieri	Pama-Nyungan	Australia	-28.1667	138.0
digo1242	Digor	Indo-European	Eurasia		
