GLOTTOCODE	NAME	FAMILY	MACROAREA	LATITUDE	LONGITUDE
apro1235	Aproumu Aizi	Atlantic-Congo	Africa	5.20273	-4.52192
apuc1241	A-Pucikwar	Great Andamanese	Eurasia	12.241	92.7965
apur1254	Apurinã	Arawakan	South America	-8.21692	-66.7714
arab1267	Arabana	Pama-Nyungan	Australia	-28.705	135.449
arab1268	Arabela	Zaparoan	South America	-1.96126	-75.0612
arag1245	Aragonese	Indo-European	Eurasia	42.4669	-0.00919
aran1237	Arandai	South Bird's Head Family	Papunesia	-2.08016	132.983
arao1248	Araona	Pano-Tacanan	South America	-12.4242	-67.7293
araw1273	Araweté	Tupian	South America	-4.90246	-52.5001
araw1276	Lokono	Arawakan	South America	5.64295	-56.9243
arbe1236	Arbëreshë Albanian	Indo-European	Eurasia	38.911	16.7164
arbo1245	Arbore	Afro-Asiatic	Africa	4.92183	36.7986
arch1244	Archi	Nakh-Daghestanian	Eurasia	42.3239	46.8267
argo1244	Argobba	Afro-Asiatic	Africa	10.6596	39.756
arhu1242	Arhuaco	Chibchan	South America	10.7018	-73.6363
arik1265	Arikapú	Nuclear-Macro-Je	South America	-12.4878	-62.7261
arin1244	Aringa	Central Sudanic	Africa	3.56143	31.3071
arit1239	Aritinngitigh	Pama-Nyungan	Australia	-12.50839255	142.138748
asha1243	Asháninka	Arawakan	South America	-11.9311	-73.9073
ashe1269	Ashe	Atlantic-Congo	Africa	9.36574	7.39443
ashe1272	Ashéninka Perené	Arawakan	South America	-10.9777	-74.9153
assa1263	Assamese	Indo-European	Eurasia	26.0876	91.2932
astu1245	Asturian-Leonese-Cantabrian	Indo-European	Eurasia	42.4181	-6.02227
atam1239	Atampaya	Pama-Nyungan	Australia	-11.0018	142.273
atay1247	Atayal	Austronesian	Papunesia	24.5209	121.388
atti1239	Attié	Atlantic-Congo	Africa	5.9977	-3.8209
auuu1241	Au	Nuclear Torricelli	Papunesia	-3.53277	142.105
avac1239	Avá-Canoeiro	Tupian	South America	-13.6081	-48.1336
avar1256	Avar	Nakh-Daghestanian	Eurasia	41.7047	46.558
avat1244	Avatime	Atlantic-Congo	Africa	6.8688	0.41314
avik1243	Avikam	Atlantic-Congo	Africa	5.15838	-5.2529
avok1242	Avokaya	Central Sudanic	Africa	4.38639	29.9379
awab1243	Awabakal	Pama-Nyungan	Australia	-33.12847	151.43555
awac1239	Awa-Cuaiquer	Barbacoan	South America	1.21652	-78.3401
awad1243	Awadhi	Indo-European	Eurasia	27.5907	82.4663
awar1248	Awara	Nuclear Trans New Guinea	Papunesia	-6.16986	146.372
awet1244	Awetí	Tupian	South America	-12.381944	-53.391944
awin1248	Awing	Atlantic-Congo	Africa	5.88362	10.264
