GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
eɪ	+	x	x	+	+	+	+	+	-	-	-	-	-	.	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	-	-	-	-	-	-	-	-	+	-
eʔ	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
eʔe	+	x	x	+	+	+	+	+	+	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
eː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
eːː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	+	.	.	.	.	.	.	-	-	+	-
eˤ	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	+	-	+	-	-	-	.	.	.	.	.	.	+	-	+	-
ẽ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ẽʔẽ	+	x	x	+	+	+	+	+	+	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
ẽː	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	+	-	.	.	.	.	.	.	-	-	+	-
ẽⁿ	+	x	x	+	+	+	+	+	-	-	+	-	-	+	n	-	-	-	+	+	-	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	-	+	-
