GRAPHEME	SYLLABIC	vocalic	V-place	approximant	vocoid	sonorant	continuant	voice	constricted	lateral	nasal	strident	spread	ATR	anterior (C)	anterior (V)	anterior (any)	coronal (C)	coronal (V)	coronal (any)	labial (C)	distributed (C)	distributed (V)	distributed (any)	C-place	pharyngeal (C)	lingual (C)	dorsal (C)	pharyngeal (V)	labial (V)	lingual (V)	dorsal (V)	LONG	EXTRA	open1	open2	open3	open4	open5	open6	pharyngeal (any)	labial (any)	lingual (any)	dorsal (any)
a̤ʔ	+	x	x	+	+	+	+	+	+	-	-	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
a̤ˤ	+	x	x	+	+	+	+	+	-	-	-	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	-	-
ã̤	+	x	x	+	+	+	+	+	-	-	+	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ã̤ʔ	+	x	x	+	+	+	+	+	+	-	+	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
ã̤ˤ	+	x	x	+	+	+	+	+	-	-	+	-	+	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	-	-	-
ḁ	+	x	x	+	+	+	+	-	-	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
a̪ː	+	x	x	+	+	+	+	+	-	-	-	-	-	+	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
a̰	+	x	x	+	+	+	+	+	+	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	-	-	.	.	.	.	.	.	-	-	-	-
a̰ː	+	x	x	+	+	+	+	+	+	-	-	-	-	-	n	n	n	-	-	-	-	n	n	n	x	-	-	-	-	-	-	-	+	-	.	.	.	.	.	.	-	-	-	-
b	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
b*	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
bv	-	o	o	-	-	-	-	+	-	-	-	+	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
bz	-	o	o	-	-	-	-	+	-	-	-	+	-	n	+	n	+	+	o	+	+	-	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
bɮ	-	o	o	-	-	-	-	+	-	+	-	-	-	n	.	n	-	+	o	+	+	.	n	-	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
bʒ	-	o	o	-	-	-	-	+	-	-	-	+	-	n	-	n	-	+	o	+	+	+	n	+	x	-	+	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	+	-
bʰ	-	o	o	-	-	-	-	+	-	-	-	-	+	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
bʲ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	-	-	-	+	+	+	n	+	+	x	-	-	-	-	-	+	-	-	-	.	.	.	.	.	.	-	+	+	-
bʷ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	+	-	-	-	-	.	.	.	.	.	.	+	+	-	-
bʼ	-	o	o	-	-	-	-	+	+	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
bː	-	o	o	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	+	-	.	.	.	.	.	.	-	+	-	-
bˡ	-	o	o	-	-	-	-	+	-	+	-	-	-	n	n	n	n	-	o	-	+	n	n	n	x	-	-	-	o	o	o	o	-	-	.	.	.	.	.	.	-	+	-	-
bˤ	-	x	x	-	-	-	-	+	-	-	-	-	-	n	n	n	n	-	-	-	+	n	n	n	x	-	-	-	+	-	-	-	-	-	.	.	.	.	.	.	+	+	-	-
