GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
ḭ	+	+	-	+	+	+	+	n	-	-	-	-	+	-	+	-	-	-	-	-	n	n	n	-	-
ḭː	+	+	-	+	+	+	+	n	-	-	-	-	+	-	+	-	-	-	-	-	n	n	n	+	-
i̺	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	-	-
j	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	n	n	-	-
je	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	-
jeː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	-
jẽ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	+	-	-	-	-	-	n	n	n	+	-
jʰ	-	-	-	+	+	+	-	n	-	-	-	n	+	n	+	-	-	-	-	-	.	n	n	-	-
jʷ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	-	-	-	+	.	n	n	-	-
jʼ	-	-	-	+	+	+	+	n	-	-	-	+	+	n	+	-	-	-	-	-	.	n	n	-	-
jː	-	-	-	+	+	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	n	n	+	-
ĵ	-	-	-	+	+	+	-	n	-	-	-	n	-	n	+	-	-	-	-	-	.	n	n	-	-
j̃	-	-	-	+	+	+	-	n	+	-	-	n	-	n	+	-	-	-	-	-	.	n	n	-	-
j̥	-	-	-	+	+	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	n	n	-	-
k	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	-	n	-	-
kf	-	-	+	-	-	-	-	n	-	+	-	n	.	n	.	-	.	-	.	-	-	+	n	-	-
klʼ	-	-	+	-	-	-	+	+	-	-	-	+	+	n	+	-	-	-	+	-	.	-	n	-	-
kxʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	-	-	+	-	.	+	n	-	-
kxʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	+	-	.	+	n	-	-
kʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	-	-	+	-	.	-	n	-	-
kʰʲ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	-	-	-	-	.	-	n	-	-
kʰʷ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	-	-	+	+	.	-	n	-	-
kʲ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	-	n	-	-
kʷ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	+	+	.	-	n	-	-
kʷɦ	-	-	+	-	-	-	-	n	-	-	+	n	.	n	+	-	-	-	+	+	.	-	n	-	-
kʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	+	+	.	-	n	-	-
kʷː	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	+	+	.	-	n	+	-
kʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	+	-	.	-	n	-	-
kʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	-	-	.	-	n	-	-
kʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	+	+	.	-	n	-	-
kː	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	+	-	.	-	n	+	-
kˤ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	+	-	-	+	-	.	-	n	-	-
k̀	-	-	+	-	-	-	-	n	-	-	-	n	+	n	+	-	-	-	+	-	.	-	n	-	-
k̀ʷ	-	-	+	-	-	-	-	n	-	-	-	n	+	n	+	-	-	-	+	+	.	-	n	-	-
k̂	-	-	+	-	-	-	-	n	-	-	-	n	-	n	+	-	-	-	+	-	.	-	n	-	-
k̂͡p̂	-	-	+	-	-	-	-	n	-	-	-	n	-	n	+	-	+	-	+	-	.	-	n	-	-
k͡p	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	-	n	-	-
k͡pʲ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	+	-	+	-	.	-	n	-	-
k͡pʷ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	+	-	+	+	.	-	n	-	-
k	-	-	+	-	-	-	-	n	+	-	-	n	.	n	+	-	-	-	+	-	.	-	n	-	-
l	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
lǃ	-	-	+	-	-	+	-	+	-	-	-	n	n	n	+	-	+	+	+	-	-	-	n	-	-
lɥ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	+	-	+	+	-	+	-	n	n	-	-
lʰ	-	+	+	+	+	+	-	+	-	-	+	n	+	n	-	-	+	+	-	-	-	n	n	-	-
lʲ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	+	-	+	+	-	-	-	n	n	-	-
lʷ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	+	-	n	n	-	-
lʼ	-	+	+	+	+	+	+	+	-	-	-	+	+	n	-	-	+	+	-	-	-	n	n	-	-
lː	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	n	n	+	-
lˠ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	+	-	+	+	+	-	-	n	n	-	-
lˠʷ	-	+	+	+	+	+	-	+	-	-	-	n	-	n	+	-	+	+	+	+	-	n	n	-	-
lˤ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	+	+	+	+	-	-	n	n	-	-
l̃	-	+	+	+	+	+	-	+	+	-	-	n	-	n	-	-	+	+	-	-	-	n	n	-	-
l̟	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
l̟ʲ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	+	-	+	+	-	-	-	n	n	-	-
l̤	-	+	+	+	+	+	-	+	-	-	+	n	.	n	-	-	+	+	-	-	-	n	n	-	-
l̥	-	-	+	+	+	-	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
l̥ʰ	-	-	+	+	+	-	-	+	-	-	+	n	+	n	-	-	+	+	-	-	-	n	n	-	-
l̩	+	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
l̪	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	+	n	n	-	-
l̪ʰ	-	+	+	+	+	+	-	+	-	-	+	n	+	n	-	-	+	+	-	-	+	n	n	-	-
l̪ʲ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	+	-	+	+	-	-	+	n	n	-	-
l̪ʼ	-	+	+	+	+	+	+	+	-	-	-	+	+	n	-	-	+	+	-	-	+	n	n	-	-
l̪ː	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	-	+	+	-	-	+	n	n	+	-
l̪ˤ	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	+	+	+	+	-	+	n	n	-	-
l̪ˤː	-	+	+	+	+	+	-	+	-	-	-	n	.	n	-	+	+	+	+	-	+	n	n	+	-
l̪θ	-	.	+	.	+	.	-	+	-	.	-	n	.	n	-	-	+	+	-	-	+	.	n	-	-
m	-	-	+	+	-	+	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
m<	-	-	+	+	-	+	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
mb̥	-	-	+	-	-	-	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
mnl	-	-	+	+	-	+	-	+	+	-	-	n	-	n	.	.	+	.	.	-	.	-	n	-	-
mǀG	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
mǁG	-	-	+	-	-	+	-	+	+	-	-	n	n	n	+	-	+	+	+	-	.	-	-	-	-
mǂG	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	-	+	+	-	+	-	-	-	-
mǃG	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
mʘG	-	-	+	-	-	-	-	n	+	-	-	n	n	n	+	-	+	-	+	-	+	-	-	-	-
mʰ	-	-	+	+	-	+	-	n	+	-	+	n	+	n	-	-	+	-	-	-	+	-	n	-	-
mʲ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	+	-	-	-	+	-	n	-	-
mʷ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	-	-	+	-	-	+	+	-	n	-	-
mʼ	-	-	+	+	-	+	+	n	+	-	-	+	+	n	-	-	+	-	-	-	+	-	n	-	-
mː	-	-	+	+	-	+	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	+	-
mˠ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	+	-	+	-	+	-	+	-	n	-	-
mˡ	-	-	+	+	-	+	-	+	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
mˤ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	-	+	+	-	+	-	+	-	n	-	-
m̂	-	-	+	+	-	+	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
m̏	-	-	+	+	-	+	-	n	+	-	-	n	+	n	-	-	+	-	-	-	+	-	n	-	-
m̤	-	-	+	+	-	+	-	n	+	-	-	n	.	n	-	-	+	-	-	-	+	-	n	-	-
m̥	-	-	+	+	-	-	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
m̥ʰ	-	-	+	+	-	-	-	n	+	-	+	n	+	n	-	-	+	-	-	-	+	-	n	-	-
m̩	+	-	+	+	-	+	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
m͡ŋ	-	-	+	+	-	+	-	n	+	-	-	n	-	n	.	-	n	-	.	-	.	-	n	-	-
mβ	-	-	+	.	+	+	-	n	+	-	-	n	-	n	-	-	+	-	-	-	+	n	n	-	-
n	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
nd̥	-	-	+	-	-	-	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
ngǀ	-	-	+	-	-	+	-	-	+	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
ngǁ	-	-	+	-	-	+	-	+	+	-	-	n	n	n	+	-	+	+	+	-	.	-	-	-	-
ngǂ	-	-	+	-	-	+	-	-	+	-	-	n	n	n	+	-	-	+	+	-	+	-	-	-	-
ngǃ	-	-	+	-	-	+	-	-	+	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
nkǀ	-	-	+	-	-	-	-	-	.	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
nkǃ	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
nzʷ	-	-	+	-	+	+	-	-	+	+	-	n	-	n	-	-	+	+	-	+	-	n	n	-	-
nð	-	-	+	-	+	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	.	n	n	-	-
nŋw	-	-	+	+	-	+	-	-	+	-	-	n	-	n	.	-	+	.	.	+	.	-	n	-	-
nǀ	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	+	+	+	-	+	-	-	-	-
nǁ	-	-	+	-	-	-	-	+	+	-	-	n	n	n	+	-	+	+	+	-	.	-	-	-	-
nǂ	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	-	+	+	-	+	-	-	-	-
nǃ	-	-	+	-	-	-	-	-	+	-	-	n	n	n	+	-	+	+	+	-	-	-	-	-	-
nʰ	-	-	+	+	-	+	-	n	+	-	+	n	+	n	-	-	+	+	-	-	.	-	n	-	-
nʲ	-	-	+	+	-	+	-	-	+	-	-	n	-	n	+	-	+	+	-	-	-	-	n	-	-
nʷ	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	+	-	-	n	-	-
nʼ	-	-	+	+	-	+	+	-	+	-	-	+	+	n	-	-	+	+	-	-	-	-	n	-	-
nː	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	+	-
nˤ	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	+	+	+	+	-	-	-	n	-	-
nˤː	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	+	+	+	+	-	-	-	n	+	-
n̂	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
n̏	-	-	+	+	-	+	-	-	+	-	-	n	+	n	-	-	+	+	-	-	-	-	n	-	-
n̞	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
n̞s̞	-	-	+	-	+	-	-	-	+	+	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
n̟	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
n̟ʲ	-	-	+	+	-	+	-	-	+	-	-	n	-	n	+	-	+	+	-	-	-	-	n	-	-
n̤	-	-	+	+	-	+	-	-	+	-	-	n	.	n	-	-	+	+	-	-	-	-	n	-	-
n̥	-	-	+	+	-	-	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
n̥s	-	-	+	-	+	-	-	-	.	+	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
n̩	+	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	-	-	n	-	-
n̪	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	+	-	n	-	-
n̪t̪	-	-	+	-	-	-	-	-	+	-	-	n	.	n	-	-	+	+	-	-	+	-	n	-	-
n̪t̪ʼ	-	-	+	-	-	-	+	-	+	-	-	+	+	n	-	-	+	+	-	-	+	-	n	-	-
n̪z̪	-	-	+	-	+	+	-	-	+	+	-	n	-	n	-	-	+	+	-	-	+	n	n	-	-
n̪ʰ	-	-	+	+	-	+	-	-	+	-	+	n	+	n	-	-	+	+	-	-	+	-	n	-	-
n̪ʲ	-	-	+	+	-	+	-	-	+	-	-	n	-	n	+	-	+	+	-	-	+	-	n	-	-
n̪ʼ	-	-	+	+	-	+	+	-	+	-	-	+	+	n	-	-	+	+	-	-	+	-	n	-	-
n̪ː	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	+	-	n	+	-
n̻	-	-	+	+	-	+	-	-	+	-	-	n	-	n	-	-	+	+	-	-	+	-	n	-	-
o	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
oi	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	.	+	n	n	n	+	-
oj	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	.	n	n	n	+	-
omf	+	+	-	+	+	+	-	n	-	-	-	n	+	+	-	-	-	-	+	+	n	n	n	-	-
ou	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	+	n	n	n	+	-
oə	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	.	n	n	n	+	-
oʊ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	+	n	n	n	+	-
oʔ	+	+	-	+	+	+	+	n	-	-	-	+	+	-	-	-	-	-	+	+	n	n	n	-	-
oʔo	+	+	-	+	+	+	+	n	-	-	-	-	+	-	-	-	-	-	+	+	n	n	n	-	-
oː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	+	-
oːː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	+	+
oˤ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	+	-	-	+	+	n	n	n	-	-
õ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
õʔ	+	+	-	+	+	+	+	n	+	-	-	-	+	-	-	-	-	-	+	+	n	n	n	-	-
õː	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	+	+	n	n	n	+	-
õˤ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	+	-	-	+	+	n	n	n	-	-
õⁿ	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
ŏ	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	+
o̝	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
o̝ː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	+	-
õ̝	+	+	-	+	+	+	-	n	+	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
o̞	+	+	-	+	+	+	-	n	-	-	-	n	.	-	-	-	-	-	+	+	n	n	n	-	-
o̤	+	+	-	+	+	+	-	n	-	-	+	n	+	-	-	-	-	-	+	+	n	n	n	-	-
o̤ʔ	+	+	-	+	+	+	+	n	-	-	+	+	+	-	-	-	-	-	+	+	n	n	n	-	-
o̤ː	+	+	-	+	+	+	-	n	-	-	+	n	+	-	-	-	-	-	+	+	n	n	n	+	-
o̤ˤ	+	+	-	+	+	+	-	n	-	-	+	n	+	-	-	+	-	-	+	+	n	n	n	-	-
õ̤	+	+	-	+	+	+	-	n	+	-	+	n	+	-	-	-	-	-	+	+	n	n	n	-	-
õ̤ʔ	+	+	-	+	+	+	+	n	+	-	+	+	+	-	-	-	-	-	+	+	n	n	n	-	-
õ̤ˤ	+	+	-	+	+	+	-	n	+	-	+	n	+	-	-	+	-	-	+	+	n	n	n	-	-
o̥	+	-	-	+	+	-	-	n	-	-	-	n	+	-	-	-	-	-	+	+	n	n	n	-	-
o̯	-	-	-	+	+	+	-	n	-	-	-	n	.	n	-	-	+	-	+	-	.	n	n	-	-
o̯a	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	.	-	-	+	.	n	n	n	+	-
o̯u	+	+	-	+	+	+	-	n	-	-	-	n	+	-	.	-	-	-	+	+	n	n	n	+	-
p	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	+	-	-	-	+	-	n	-	-
p*	-	-	+	-	-	-	-	n	-	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
p<	-	-	+	-	-	-	-	n	-	-	-	n	n	n	-	-	+	-	-	-	+	-	-	-	-
pf	-	-	+	-	-	-	-	n	-	+	-	n	.	n	-	-	+	-	-	-	-	+	n	-	-
pfʰ	-	-	+	-	-	-	-	n	-	+	+	n	+	n	-	-	+	-	-	-	-	+	n	-	-
ps	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	.	-	-	.	+	n	-	-
pv	-	-	+	-	-	-	-	n	-	+	-	n	.	n	-	-	+	-	-	-	-	+	n	-	-
pɦ	-	-	+	-	-	-	-	n	-	-	+	n	.	n	-	-	+	-	-	-	+	-	n	-	-
pɸ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	+	-	-	-	+	+	n	-	-
pʃʰ	-	-	+	-	-	-	-	-	-	+	+	n	+	n	.	-	-	.	-	-	+	+	n	-	-
pʃʼ	-	-	+	-	-	-	+	-	-	+	-	+	+	n	.	-	-	.	-	-	+	+	n	-	-
pʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	-	-	+	-	-	-	+	-	n	-	-
pʰʷ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	-	-	+	-	-	+	+	-	n	-	-
pʲ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	+	-	-	-	+	-	n	-	-
pʲʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	+	-	-	-	+	-	n	-	-
pʷ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	+	-	-	+	+	-	n	-	-
pʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	-	+	-	-	+	+	-	n	-	-
pʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	-	+	-	-	-	+	-	n	-	-
pʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	+	+	-	+	-	+	-	n	-	-
pː	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	+	-	-	-	+	-	n	+	-
pˠ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	+	-	+	-	+	-	n	-	-
pˡ	-	-	+	-	-	-	-	+	-	-	-	n	.	n	-	-	+	-	-	-	+	-	n	-	-
pˤ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	+	+	-	+	-	+	-	n	-	-
p̀	-	-	+	-	-	-	-	n	-	-	-	n	+	n	-	-	+	-	-	-	+	-	n	-	-
p͡k	-	-	+	-	-	-	-	n	-	-	-	n	.	n	.	-	n	-	.	-	.	-	n	-	-
p͡kʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	+	-	+	-	.	-	n	-	-
p͡t	-	-	+	-	-	-	-	-	-	-	-	n	.	n	-	-	+	.	-	-	.	-	n	-	-
p͡ts	-	-	+	-	-	-	-	-	-	+	-	n	.	n	-	-	+	.	-	-	.	+	n	-	-
p	-	-	+	-	-	-	-	n	+	-	-	n	.	n	-	-	+	-	-	-	+	-	n	-	-
q	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	-	-	+	-	.	-	n	-	-
qɰ	-	-	-	+	+	+	-	n	-	-	-	n	.	n	-	-	-	-	+	-	.	n	n	-	-
qʔ	-	-	+	-	-	-	+	+	-	-	-	-	+	n	-	-	+	+	+	-	.	-	-	-	-
qʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	-	-	-	-	+	-	.	-	n	-	-
qʰʷ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	-	-	-	-	+	+	.	-	n	-	-
qʲ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	-	n	-	-
qʷ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	-	-	+	+	.	-	n	-	-
qʷʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	-	-	-	+	+	.	-	n	-	-
qʷː	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	-	-	+	+	.	-	n	+	-
qʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	-	-	-	+	-	.	-	n	-	-
qʼʲ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	-	-	.	-	n	-	-
qʼʷ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	-	-	-	+	+	.	-	n	-	-
qʼˤ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	+	-	-	+	-	.	-	n	-	-
qʼˤʷ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	+	-	-	+	+	.	-	n	-	-
qː	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	-	-	+	-	.	-	n	+	-
qˤ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	+	-	-	+	-	.	-	n	-	-
qˤʷ	-	-	+	-	-	-	-	n	-	-	-	n	+	n	-	+	-	-	+	+	.	-	n	-	-
qˤʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	-	+	-	-	+	-	.	-	n	-	-
qχ	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	-	-	+	-	.	+	n	-	-
r	-	+	+	+	+	+	-	-	-	-	+	n	.	n	-	-	+	+	-	-	-	n	n	-	-
rʰ	-	+	+	+	+	+	-	-	-	-	+	n	+	n	-	-	+	+	-	-	-	n	n	-	-
rʲ	-	+	+	+	+	+	-	-	-	-	+	n	.	n	+	-	+	+	-	-	-	n	n	-	-
rʷ	-	+	+	+	+	+	-	-	-	-	+	n	.	n	-	-	+	+	-	+	-	n	n	-	-
rʼ	-	+	+	+	+	+	+	-	-	-	+	+	+	n	-	-	+	+	-	-	-	n	n	-	-
rː	-	+	+	+	+	+	-	-	-	-	+	n	.	n	-	-	+	+	-	-	-	n	n	+	-
rˤ	-	+	+	+	+	+	-	-	-	-	+	n	.	n	-	+	+	+	+	-	-	n	n	-	-
rˤː	-	+	+	+	+	+	-	-	-	-	+	n	.	n	-	+	+	+	+	-	-	n	n	+	-
r̃	-	+	+	+	+	+	-	-	+	-	+	n	-	n	-	-	+	+	-	-	-	n	n	-	-
ř	-	+	+	+	+	+	-	-	-	+	+	n	.	n	-	-	+	+	-	-	-	n	n	-	-
r̟	-	+	+	+	+	+	-	-	-	-	+	n	.	n	-	-	+	+	-	-	-	n	n	-	-
r̟ʲ	-	+	+	+	+	+	-	-	-	-	+	n	.	n	+	-	+	+	-	-	-	n	n	-	-
r̥	-	-	+	+	+	-	-	-	-	-	+	n	.	n	-	-	+	+	-	-	-	n	n	-	-
r̥ʰ	-	-	+	+	+	-	-	-	-	-	+	n	+	n	-	-	+	+	-	-	-	n	n	-	-
r̪	-	+	+	+	+	+	-	-	-	-	+	n	.	n	-	-	+	+	-	-	+	n	n	-	-
r̪ʲ	-	+	+	+	+	+	-	-	-	-	+	n	.	n	+	-	+	+	-	-	+	n	n	-	-
r͡ɣw	-	.	+	.	-	+	-	-	-	+	+	n	.	n	.	-	+	.	.	+	.	+	n	-	-
s	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
sɥ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	+	+	-	+	-	n	n	-	-
sʰ	-	-	+	-	+	-	-	-	-	+	+	n	+	n	-	-	+	+	-	-	-	n	n	-	-
sʲ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	+	+	-	-	-	n	n	-	-
sʷ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	+	-	+	-	n	n	-	-
sʼ	-	-	+	-	+	-	+	-	-	+	-	+	+	n	-	-	+	+	-	-	-	n	n	-	-
sː	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	-	n	n	+	-
sˠ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	+	+	+	-	-	n	n	-	-
sˤ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	+	+	+	+	-	-	n	n	-	-
s̀	-	-	+	-	+	-	-	-	-	+	-	n	+	n	-	-	+	+	-	-	-	n	n	-	-
š	-	-	+	-	+	-	-	-	-	+	+	n	.	n	-	-	+	+	-	-	-	n	n	-	-
s̞	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	-	n	n	-	-
s̪	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	n	n	-	-
s̪v	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	.	-	-	.	n	n	-	-
s̪ʲ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	+	-	+	+	-	-	+	n	n	-	-
s̪ʼ	-	-	+	-	+	-	+	-	-	+	-	+	+	n	-	-	+	+	-	-	+	n	n	-	-
s̪ː	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	n	n	+	-
s̪ˤ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	+	+	+	+	-	+	n	n	-	-
s̪ˤː	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	+	+	+	+	-	+	n	n	+	-
s̻	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	-	+	+	-	-	+	n	n	-	-
s̻ˤ	-	-	+	-	+	-	-	-	-	+	-	n	.	n	-	+	+	+	+	-	+	n	n	-	-
