GRAPHEME	syllabic	vocalic	consonantal	sonorant	continuant	voice	glottal_(tertiary)_closure	lateral	nasal	strident	heightened_subglottal_pressure	movement_of_glottal_closure	tense	covered	high	low	anterior	coronal	back	round	distributed	delayed_primary_release	delayed_release_of_secondary_closure	LONG	EXTRA
ã̤ʔ	+	+	-	+	+	+	+	n	+	-	+	+	-	-	-	+	-	-	+	-	n	n	n	-	-
ã̤ˤ	+	+	-	+	+	+	-	n	+	-	+	n	-	-	-	+	-	-	+	-	n	n	n	-	-
ḁ	+	-	-	+	+	-	-	n	-	-	-	n	-	-	-	+	-	-	+	-	n	n	n	-	-
a̪ː	+	+	-	+	+	+	-	n	-	-	-	n	+	-	-	+	-	-	+	-	n	n	n	+	-
a̰	+	+	-	+	+	+	+	n	-	-	-	-	-	-	-	+	-	-	+	-	n	n	n	-	-
a̰ː	+	+	-	+	+	+	+	n	-	-	-	-	-	-	-	+	-	-	+	-	n	n	n	+	-
b	-	-	+	-	-	+	-	n	-	-	-	n	.	n	-	-	+	-	-	-	+	-	n	-	-
b*	-	-	+	-	-	+	-	n	-	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
bv	-	-	+	-	-	+	-	n	-	+	-	n	.	n	-	-	+	-	-	-	-	+	n	-	-
bz	-	-	+	-	-	+	-	-	-	+	-	n	.	n	-	-	+	.	-	-	.	+	n	-	-
bɮ	-	-	+	-	-	+	-	+	-	-	-	n	.	n	-	-	+	.	-	-	.	+	n	-	-
bʒ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	.	-	-	.	-	-	+	+	n	-	-
bʰ	-	-	+	-	-	+	-	n	-	-	+	n	+	n	-	-	+	-	-	-	+	-	n	-	-
bʲ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	+	-	-	-	+	-	n	-	-
bʷ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	-	-	+	-	-	+	+	-	n	-	-
bʼ	-	-	+	-	-	+	+	n	-	-	-	+	+	n	-	-	+	-	-	-	+	-	n	-	-
bː	-	-	+	-	-	+	-	n	-	-	-	n	.	n	-	-	+	-	-	-	+	-	n	+	-
bˡ	-	-	+	-	-	+	-	+	-	-	-	n	.	n	-	-	+	-	-	-	+	-	n	-	-
bˤ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	-	+	+	-	+	-	+	-	n	-	-
b̀	-	-	+	-	-	+	-	n	-	-	-	n	+	n	-	-	+	-	-	-	+	-	n	-	-
b̂	-	-	+	-	-	+	-	n	-	-	-	n	-	n	-	-	+	-	-	-	+	-	n	-	-
b̏	-	-	+	-	-	+	-	n	-	-	-	n	+	n	-	-	+	-	-	-	+	-	n	-	-
b̥	-	-	+	-	-	-	-	n	-	-	-	n	.	n	-	-	+	-	-	-	+	-	n	-	-
b͡ç	-	-	+	-	-	.	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	+	n	-	-
b͡d	-	-	+	-	-	+	-	-	-	-	-	n	.	n	-	-	+	.	-	-	.	-	n	-	-
b͡dz	-	-	+	-	-	+	-	-	-	+	-	n	.	n	-	-	+	.	-	-	.	+	n	-	-
b͡dʒ	-	-	+	-	-	+	-	-	-	+	-	n	.	n	.	-	-	.	-	-	.	+	n	-	-
b͡g	-	-	+	-	-	+	-	n	-	-	-	n	.	n	.	-	n	-	.	-	.	-	n	-	-
b͡tʃ	-	-	+	-	-	.	-	-	-	+	-	n	.	n	.	-	-	.	-	-	.	+	n	-	-
b͡ɗ	-	-	+	-	-	+	+	-	-	+	-	+	+	n	-	-	+	.	-	-	.	-	n	-	-
b͡ʝ	-	-	+	-	-	+	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	+	n	-	-
c	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	-	n	-	-
cç	-	-	+	-	-	-	-	n	-	-	-	n	.	n	+	-	-	-	-	-	.	+	n	-	-
cçʰ	-	-	+	-	-	-	-	n	-	-	+	n	+	n	+	-	-	-	-	-	.	+	n	-	-
cçʼ	-	-	+	-	-	-	+	n	-	-	-	+	+	n	+	-	-	-	-	-	.	+	n	-	-
cɕ	-	-	+	-	-	-	-	-	-	-	-	n	.	n	+	-	-	.	-	-	+	+	n	-	-
