GRAPHEME	vocalic	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
o̤	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
o̤ʔ	+	-	-	+	+	-	-	+	-	-	-	+	+	-	-
o̤ː	+	-	-	+	-	-	-	+	-	-	-	+	+	+	-
o̤ˤ	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
õ̤	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
õ̤ʔ	+	-	-	+	+	+	-	+	-	-	-	+	+	-	-
õ̤ˤ	+	-	-	+	-	+	-	+	-	-	-	+	+	-	-
o̥	-	-	-	-	-	-	-	+	-	-	-	+	+	-	-
o̯	-	-	-	+	-	-	-	.	-	-	-	+	-	-	-
o̯a	+	-	-	+	-	-	-	+	-	-	-	-	.	+	-
o̯u	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
p	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
p*	-	+	+	-	-	-	-	-	-	-	+	+	-	-	-
p<	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
pf	-	+	+	-	-	-	+	.	-	-	+	+	-	-	-
pfʰ	-	+	+	-	-	-	+	+	-	-	+	+	-	-	-
ps	-	+	+	-	-	-	+	.	-	-	+	.	-	-	-
pv	-	+	+	-	-	-	+	.	-	-	+	+	-	-	-
pɦ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
pɸ	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
pʃʰ	-	+	+	-	-	-	+	+	.	-	.	.	-	-	-
pʃʼ	-	+	+	-	+	-	+	.	.	-	.	.	-	-	-
pʰ	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
pʰʷ	-	+	+	-	-	-	-	+	-	-	+	+	+	-	-
pʲ	-	+	+	-	-	-	-	.	-	+	+	+	-	-	-
pʲʰ	-	+	+	-	-	-	-	+	-	+	+	+	-	-	-
pʷ	-	+	+	-	-	-	-	.	-	-	+	+	+	-	-
pʷʼ	-	+	+	-	+	-	-	.	-	-	+	+	+	-	-
pʼ	-	+	+	-	+	-	-	.	-	-	+	+	-	-	-
pʼˤ	-	+	+	-	+	-	-	.	-	-	+	+	+	-	-
pː	-	+	+	-	-	-	-	.	-	-	+	+	-	+	-
pˠ	-	+	+	-	-	-	-	.	-	.	+	+	-	-	-
pˡ	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
pˤ	-	+	+	-	-	-	-	.	-	-	+	+	+	-	-
p̀	-	+	+	-	-	-	-	+	-	-	+	+	-	-	-
p͡k	-	+	+	-	-	-	-	.	.	-	.	+	-	-	-
p͡kʰ	-	+	+	-	-	-	-	+	-	-	-	+	-	-	-
p͡t	-	+	+	-	-	-	-	.	-	-	+	.	-	-	-
p͡ts	-	+	+	-	-	-	+	.	-	-	+	.	-	-	-
p	-	+	+	-	-	.	-	.	-	-	+	+	-	-	-
q	-	+	+	-	-	-	+	.	+	-	-	+	-	-	-
qɰ	-	-	-	+	-	-	+	.	+	-	-	+	-	-	-
qʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
qʰ	-	+	+	-	-	-	+	+	+	-	-	+	-	-	-
qʰʷ	-	+	+	-	-	-	+	+	+	-	-	+	+	-	-
qʲ	-	+	+	-	-	-	+	.	+	+	-	+	-	-	-
qʷ	-	+	+	-	-	-	+	.	+	-	-	+	+	-	-
qʷʼ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʷː	-	+	+	-	-	-	+	.	+	-	-	+	+	+	-
qʼ	-	+	+	-	+	-	+	.	+	-	-	+	-	-	-
qʼʲ	-	+	+	-	+	-	+	.	+	+	-	+	-	-	-
qʼʷ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʼˤ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qʼˤʷ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qː	-	+	+	-	-	-	+	.	+	-	-	+	-	+	-
qˤ	-	+	+	-	-	-	+	.	+	-	-	+	+	-	-
qˤʷ	-	+	+	-	-	-	+	.	+	-	-	+	+	-	-
qˤʼ	-	+	+	-	+	-	+	.	+	-	-	+	+	-	-
qχ	-	+	+	-	-	-	+	.	+	-	-	+	-	-	-
r	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
rʰ	+	+	+	+	-	-	-	+	-	-	+	-	-	-	-
rʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
rʷ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
rʼ	+	+	+	+	+	-	-	.	-	-	+	-	-	-	-
rː	+	+	+	+	-	-	-	.	-	-	+	-	-	+	-
rˤ	+	+	+	+	-	-	-	.	-	-	+	-	+	-	-
rˤː	+	+	+	+	-	-	-	.	-	-	+	-	+	+	-
r̃	+	+	+	+	-	+	-	.	-	-	+	-	-	-	-
ř	+	+	+	+	-	-	+	.	-	-	+	-	-	-	-
r̟	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
r̟ʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
r̥	-	+	+	-	-	-	.	.	-	-	+	-	-	-	-
r̥ʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
r̪	+	+	+	+	-	-	-	.	-	-	+	-	-	-	-
r̪ʲ	+	+	+	+	-	-	-	.	-	+	+	-	-	-	-
r͡ɣw	.	+	+	+	-	-	+	.	.	-	.	.	+	-	-
s	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
sɥ	-	+	-	-	-	-	+	.	-	+	+	-	+	-	-
sʰ	-	+	-	-	-	-	+	+	-	-	+	-	-	-	-
sʲ	-	+	-	-	-	-	+	.	-	+	+	-	-	-	-
sʷ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
sʼ	-	+	-	-	+	-	+	.	-	-	+	-	-	-	-
sː	-	+	-	-	-	-	+	.	-	-	+	-	-	+	-
sˠ	-	+	-	-	-	-	+	.	-	.	+	-	-	-	-
sˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
s̀	-	+	-	-	-	-	+	+	-	-	+	-	-	-	-
š	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̞	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̪	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̪v	-	+	-	-	-	-	+	.	-	-	+	.	-	-	-
s̪ʲ	-	+	-	-	-	-	+	.	-	+	+	-	-	-	-
s̪ʼ	-	+	-	-	+	-	+	.	-	-	+	-	-	-	-
s̪ː	-	+	-	-	-	-	+	.	-	-	+	-	-	+	-
s̪ˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
s̪ˤː	-	+	-	-	-	-	+	.	-	-	+	-	+	+	-
s̻	-	+	-	-	-	-	+	.	-	-	+	-	-	-	-
s̻ˤ	-	+	-	-	-	-	+	.	-	-	+	-	+	-	-
s͡kʷ	-	+	.	-	-	-	-	.	.	-	.	.	+	-	-
t	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
tç	-	+	+	-	-	-	-	.	.	-	.	-	-	-	-
tçʰ	-	+	+	-	-	-	-	+	.	-	.	-	-	-	-
tl	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
tlʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tlʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tr	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
ts	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
tsjʰ	-	+	+	-	-	-	+	+	-	+	+	-	-	-	-
tswʰ	-	+	+	-	-	-	+	+	-	-	+	-	+	-	-
tsx	-	+	+	-	-	-	.	.	.	-	.	.	-	-	-
tsʰ	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
tsʰʷ	-	+	+	-	-	-	+	+	-	-	+	-	+	-	-
tsʲ	-	+	+	-	-	-	+	.	-	+	+	-	-	-	-
tsʷ	-	+	+	-	-	-	+	.	-	-	+	-	+	-	-
tsʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tsʼkxʼ	-	+	+	-	+	-	.	.	.	-	.	.	-	-	-
tsʼʷ	-	+	+	-	+	-	+	.	-	-	+	-	+	-	-
ts̀	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
ts͡kʷ	-	+	+	-	-	-	+	.	.	-	.	.	+	-	-
tx	-	+	+	-	-	-	-	.	.	-	.	.	-	-	-
tz	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
tzʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tɕ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
tɕɥ	-	+	+	-	-	-	+	.	.	+	.	-	+	-	-
tɕʰ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
tɦ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tɬ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
tɬʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tɬʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tɸʰ	-	+	+	-	-	-	-	+	-	-	+	.	-	-	-
tʂ	-	+	+	-	-	-	+	.	.	-	.	.	-	-	-
tʂʼ	-	+	+	-	+	-	+	.	.	-	.	.	-	-	-
tʃ	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
tʃɦ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
tʃʰ	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
tʃʰʷ	-	+	+	-	-	-	+	+	+	-	-	-	+	-	-
tʃʲ	-	+	+	-	-	-	+	.	+	+	-	-	-	-	-
tʃʷ	-	+	+	-	-	-	+	.	+	-	-	-	+	-	-
tʃʷʼ	-	+	+	-	+	-	+	.	+	-	-	-	+	-	-
tʃʼ	-	+	+	-	+	-	+	.	+	-	-	-	-	-	-
tʃˤ	-	+	+	-	-	-	+	.	+	-	-	-	+	-	-
tʃ̀	-	+	+	-	-	-	+	+	+	-	-	-	-	-	-
tʃ͡k	-	+	+	-	-	-	+	.	+	-	-	.	-	-	-
tʃ͡kʷ	-	+	+	-	-	-	.	.	+	-	-	.	+	-	-
tʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
tʰʷ	-	+	+	-	-	-	-	+	-	-	+	-	+	-	-
tʲ	-	+	+	-	-	-	-	.	-	+	+	-	-	-	-
tʲʰ	-	+	+	-	-	-	-	+	-	+	+	-	-	-	-
tʲʼ	-	+	+	-	+	-	-	.	-	+	+	-	-	-	-
tʷ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
tʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
tʼkxʼ	-	+	+	-	+	-	-	.	.	-	.	.	-	-	-
tʼʷ	-	+	+	-	+	-	-	.	-	-	+	-	+	-	-
tː	-	+	+	-	-	-	-	.	-	-	+	-	-	+	-
tːʃ	-	+	+	-	-	-	+	.	+	-	-	-	-	+	-
tːʃː	-	+	+	-	-	-	+	.	+	-	-	-	-	+	+
tˠ	-	+	+	-	-	-	-	.	-	.	+	-	-	-	-
tˤ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
t̀	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
t̂	-	+	+	-	-	-	-	-	-	-	+	-	-	-	-
t̪	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
t̪s̪	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
t̪s̪ɦ	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
t̪s̪ʰ	-	+	+	-	-	-	+	+	-	-	+	-	-	-	-
t̪s̪ʰʷ	-	+	+	-	-	-	+	+	-	-	+	-	+	-	-
t̪s̪ʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
t̪s̪ː	-	+	+	-	-	-	+	.	-	-	+	-	-	+	-
t̪ʃ	-	+	+	-	-	-	+	.	.	-	.	-	-	-	-
t̪ʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
t̪ʲ	-	+	+	-	-	-	-	.	-	+	+	-	-	-	-
t̪ʷ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
t̪ʼ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
t̪ː	-	+	+	-	-	-	-	.	-	-	+	-	-	+	-
t̪ˤ	-	+	+	-	-	-	-	.	-	-	+	-	+	-	-
t̪ˤː	-	+	+	-	-	-	-	.	-	-	+	-	+	+	-
t̪̀	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
t̪͡c	-	+	+	-	-	-	-	.	.	-	.	-	-	-	-
t̪͡k	-	+	+	-	-	-	-	.	.	-	.	.	-	-	-
t̪θ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
t̪ⁿ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
t̺s̺ʲ	-	+	+	-	-	-	+	.	-	+	+	-	-	-	-
t̻s̻	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
t̻ɕ	-	+	+	-	-	-	+	.	.	-	.	-	-	-	-
t̻ɕʰ	-	+	+	-	-	-	+	+	.	-	.	-	-	-	-
t̻ɕʼ	-	+	+	-	+	-	+	.	.	-	.	-	-	-	-
t̻ʃ̻	-	+	+	-	-	-	+	.	+	-	-	-	-	-	-
tθ	-	+	+	-	-	-	-	.	-	-	+	.	-	-	-
tθʼ	-	+	+	-	+	-	+	.	-	-	+	-	-	-	-
tⁿ	-	+	+	-	-	.	-	.	-	-	+	-	-	-	-
u	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ua	+	-	-	+	-	-	-	+	-	-	+	-	.	+	-
ui	+	-	-	+	-	-	-	+	-	-	+	.	.	+	-
uj	+	-	-	+	-	-	-	+	-	-	+	.	-	+	-
uo	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
uw	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
uɔ	+	-	-	+	-	-	-	-	-	-	+	+	+	+	-
uə	+	-	-	+	-	-	-	+	-	-	+	-	.	+	-
uʔ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
uʔu	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
uː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
uːː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	+
uˤ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
uˤʔ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
ũ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
ũʔ	+	-	-	+	+	+	-	+	-	-	+	+	+	-	-
ũʔũ	+	-	-	+	+	+	-	+	-	-	+	+	+	-	-
ũː	+	-	-	+	-	+	-	+	-	-	+	+	+	+	-
ũˤ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
u̝	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
u̝ː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
u̞	+	-	-	+	-	-	-	.	-	-	+	+	+	-	-
ṳ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ṳo̤	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ṳʔ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
ṳː	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ṳˤ	+	-	-	+	-	-	-	+	-	-	+	+	+	-	-
ṳ̃	+	-	-	+	-	+	-	-	-	-	+	+	+	-	-
ṳ̃ˤ	+	-	-	+	-	+	-	+	-	-	+	+	+	-	-
u̥	-	-	-	-	-	-	-	+	-	-	+	+	+	-	-
u̯o	+	-	-	+	-	-	-	+	-	-	+	+	+	+	-
ṵ	+	-	-	+	+	-	-	+	-	-	+	+	+	-	-
ṵː	+	-	-	+	+	-	-	+	-	-	+	+	+	+	-
v	-	+	-	+	-	-	+	.	-	-	+	+	-	-	-
vɾ	+	+	+	+	-	-	-	.	-	-	+	+	-	-	-
vʰ	-	+	-	+	-	-	+	+	-	-	+	+	-	-	-
vʲ	-	+	-	+	-	-	+	.	-	+	+	+	-	-	-
vʷ	-	+	-	+	-	-	+	.	-	-	+	+	+	-	-
vˡ	-	+	-	+	-	-	+	.	-	-	+	+	-	-	-
vˤ	-	+	-	+	-	-	+	.	-	-	+	+	+	-	-
ṽʲ	-	+	-	+	-	+	+	.	-	+	+	+	-	-	-
v̌	+	+	+	+	-	-	-	.	-	-	+	+	-	-	-
v̤	-	+	-	+	-	-	+	.	-	-	+	+	-	-	-
v̥	-	+	-	-	-	-	+	.	-	-	+	+	-	-	-
w	-	-	-	+	-	-	-	.	-	-	-	+	-	-	-
w*	-	-	-	+	-	-	-	-	-	-	-	+	-	-	-
wɦ	-	-	-	+	-	-	-	+	-	-	-	+	-	-	-
wʰ	-	-	-	+	-	-	-	+	-	-	-	+	-	-	-
wʲ	-	-	-	+	-	-	-	.	-	+	-	+	-	-	-
wʼ	-	-	-	+	+	-	-	.	-	-	-	+	-	-	-
wː	-	-	-	+	-	-	-	.	-	-	-	+	-	+	-
wˤ	-	-	-	+	-	-	-	.	-	-	-	+	+	-	-
w̃	-	-	-	+	-	+	-	.	-	-	-	+	-	-	-
x	-	+	-	-	-	-	-	.	+	-	-	+	-	-	-
xʰ	-	+	-	-	-	-	-	+	+	-	-	+	-	-	-
xʲ	-	+	-	-	-	-	-	.	+	+	-	+	-	-	-
xʷ	-	+	-	-	-	-	-	.	+	-	-	+	+	-	-
xʼ	-	+	-	-	+	-	-	.	+	-	-	+	-	-	-
xː	-	+	-	-	-	-	-	.	+	-	-	+	-	+	-
x̀	-	+	-	-	-	-	-	+	+	-	-	+	-	-	-
x̀ʷ	-	+	-	-	-	-	-	+	+	-	-	+	+	-	-
x͡ɸ	-	+	-	-	-	-	-	.	-	-	-	+	-	-	-
y	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-
yi	+	-	-	+	-	-	-	+	-	-	+	-	.	+	-
yː	+	-	-	+	-	-	-	+	-	-	+	-	+	+	-
ỹ	+	-	-	+	-	+	-	+	-	-	+	-	+	-	-
z	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
zʲ	-	+	-	+	-	-	+	.	-	+	+	-	-	-	-
zʷ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
zʷ͡ɣw	-	+	-	+	-	-	.	.	.	-	.	.	+	-	-
zʼ	-	+	-	+	+	-	+	.	-	-	+	-	-	-	-
zˤ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
z̤	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
z̪	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
z̪v	-	+	-	+	-	-	+	.	-	-	+	.	-	-	-
z̪ʲ	-	+	-	+	-	-	+	.	-	+	+	-	-	-	-
z̪ː	-	+	-	+	-	-	+	.	-	-	+	-	-	+	-
z̪ˤ	-	+	-	+	-	-	+	.	-	-	+	-	+	-	-
z̪ˤː	-	+	-	+	-	-	+	.	-	-	+	-	+	+	-
z̻	-	+	-	+	-	-	+	.	-	-	+	-	-	-	-
z̻ˤ	-	+	-	+	-	-	+	.	+	-	-	-	+	-	-
z͡ɣw	-	+	-	+	-	-	.	.	.	-	.	.	+	-	-
æ	+	-	-	+	-	-	-	+	+	-	-	-	-	-	-
æː	+	-	-	+	-	-	-	+	+	-	-	-	-	+	-
æ̃	+	-	-	+	-	+	-	+	+	-	-	-	-	-	-
æ̞	+	-	-	+	-	-	-	-	+	-	-	-	-	-	-
ð	-	+	-	+	-	-	-	.	-	-	+	-	-	-	-
ðn	-	+	-	-	-	+	-	.	-	-	+	-	-	-	-
ðʲ	-	+	-	+	-	-	-	.	-	+	+	-	-	-	-
ðˠ	-	+	-	+	-	-	-	.	-	.	+	-	-	-	-
ðˤ	-	+	-	+	-	-	-	.	-	-	+	-	+	-	-
ø	+	-	-	+	-	-	-	+	-	-	-	-	+	-	-
øə	+	-	-	+	-	-	-	+	-	-	-	.	.	+	-
øː	+	-	-	+	-	-	-	+	-	-	-	-	+	+	-
ø̆	+	-	-	+	-	-	-	+	-	-	-	-	+	-	+
ħ	-	+	-	-	-	-	-	.	.	-	.	.	-	-	-
ħʷ	-	+	-	-	-	-	-	.	.	-	.	.	+	-	-
ŋ	-	+	+	+	-	+	-	.	+	-	-	+	-	-	-
ŋg̥	-	+	+	-	-	.	-	.	+	-	-	+	-	-	-
ŋkxʼ	-	+	+	-	+	.	-	.	+	-	-	+	-	-	-
ŋtw	-	+	+	-	-	.	-	.	-	-	+	-	+	-	-
ŋʰ	-	+	+	+	-	+	-	+	+	-	-	+	-	-	-
ŋʷ	-	+	+	+	-	+	-	.	+	-	-	+	+	-	-
ŋʼ	-	+	+	+	+	+	-	.	+	-	-	+	-	-	-
ŋː	-	+	+	+	-	+	-	.	+	-	-	+	-	+	-
ŋ̥	-	+	+	-	-	+	-	.	+	-	-	+	-	-	-
ŋ̥ʰ	-	+	+	-	-	+	-	+	+	-	-	+	-	-	-
ŋ͡m	-	+	+	+	-	+	-	.	-	-	-	+	-	-	-
ŋ͡mʲ	-	+	+	+	-	+	-	.	-	+	-	+	-	-	-
œ	+	-	-	+	-	-	-	-	-	-	-	-	+	-	-
œi	+	-	-	+	-	-	-	-	-	-	+	-	.	+	-
œu	+	-	-	+	-	-	-	-	-	-	+	.	+	+	-
œː	+	-	-	+	-	-	-	-	-	-	-	-	+	+	-
œ̃	+	-	-	+	-	+	-	-	-	-	-	-	+	-	-
ǀ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀkxʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǀn	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǀn̥	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǀq	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀqʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǀqʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǀs	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀx	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǀʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǀʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǁ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǁkxʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǁn	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
ǁn̥	-	+	+	+	-	+	-	.	-	-	+	-	-	-	-
ǁq	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǁqʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǁqʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǁx	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǁʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǁʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǂ	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ǂkxʔ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
ǂn	-	+	+	-	-	+	-	.	+	-	-	-	-	-	-
ǂn̥	-	+	+	-	-	+	-	.	+	-	-	-	-	-	-
ǂq	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ǂqʔ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
ǂqʰ	-	+	+	-	-	-	-	+	+	-	-	-	-	-	-
ǂx	-	+	+	-	-	-	-	.	+	-	-	-	-	-	-
ǂʔ	-	+	+	-	+	-	-	.	+	-	-	-	-	-	-
ǂʰ	-	+	+	-	-	-	-	+	+	-	-	-	-	-	-
ǃ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃd	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃkxʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǃn	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǃn̥	-	+	+	-	-	+	-	.	-	-	+	-	-	-	-
ǃq	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃqʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǃqʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ǃr	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃs	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
ǃt	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃx	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃz	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃʃ	-	+	+	-	-	-	+	.	-	-	+	-	-	-	-
ǃʒ	-	+	+	-	-	-	-	.	-	-	+	-	-	-	-
ǃʔ	-	+	+	-	+	-	-	.	-	-	+	-	-	-	-
ǃʰ	-	+	+	-	-	-	-	+	-	-	+	-	-	-	-
ɐ	+	-	-	+	-	-	-	+	+	-	-	+	-	-	-
ɐː	+	-	-	+	-	-	-	+	+	-	-	+	-	+	-
ɑ	+	-	-	+	-	-	-	-	+	-	-	+	-	-	-
ɑː	+	-	-	+	-	-	-	-	+	-	-	+	-	+	-
ɑ̃	+	-	-	+	-	+	-	-	+	-	-	+	-	-	-
ɒ	+	-	-	+	-	-	-	-	+	-	-	+	+	-	-
ɒː	+	-	-	+	-	-	-	-	+	-	-	+	+	+	-
ɓ	-	+	+	+	-	-	-	.	-	-	+	+	-	-	-
ɓʷ	-	+	+	+	-	-	-	.	-	-	+	+	+	-	-
ɓ̥	-	+	+	-	-	-	-	.	-	-	+	+	-	-	-
ɓ̥ˠ	-	+	+	-	-	-	-	.	-	.	+	+	-	-	-
ɔ	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
ɔi	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
ɔi̯	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
ɔj	+	-	-	+	-	-	-	-	-	-	+	.	.	+	-
ɔʔ	+	-	-	+	+	-	-	-	-	-	-	+	+	-	-
ɔː	+	-	-	+	-	-	-	-	-	-	-	+	+	+	-
ɔ̃	+	-	-	+	-	+	-	-	-	-	-	+	+	-	-
ɔ̃ʔ	+	-	-	+	+	+	-	-	-	-	-	+	+	-	-
ɔ̃ː	+	-	-	+	-	+	-	-	-	-	-	+	+	+	-
ɔ̘	+	-	-	+	-	-	-	+	-	-	-	+	+	-	-
ɔ̝	+	-	-	+	-	-	-	-	-	-	-	+	+	-	-
ɔ̝ː	+	-	-	+	-	-	-	-	-	-	-	+	+	+	-
ɔ̥	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-
ɕ	-	+	-	-	-	-	+	.	+	-	-	-	-	-	-
ɕɥ	-	+	-	-	-	-	+	.	+	+	-	-	+	-	-
ɕʰ	-	+	-	-	-	-	+	+	+	-	-	-	-	-	-
ɖ	-	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɖɽ	-	+	+	+	-	-	-	.	+	-	-	-	+	-	-
ɖʐ	-	+	+	+	-	-	+	.	+	-	-	-	+	-	-
ɖʰ	-	+	+	+	-	-	-	+	+	-	-	-	+	-	-
ɖʲ	-	+	+	+	-	-	-	.	+	+	-	-	+	-	-
ɖ˞	-	+	+	-	-	-	-	.	+	-	-	-	+	-	-
ɗ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ɗʒ	-	+	+	+	-	-	+	.	+	-	-	-	-	-	-
ɗʷ	-	+	+	+	-	-	-	.	-	-	+	-	+	-	-
ɗ̪	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
ə	+	-	-	+	-	-	-	-	-	-	-	+	-	-	-
əe	+	-	-	+	-	-	-	+	-	-	-	.	-	+	-
