GRAPHEME	vocalic	consonantal	interrupted	voiced	checked	nasal	strident	tense	compact	sharp	diffuse	grave	flat	LONG	EXTRA
eʔ	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-
eʔe	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-
eː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	-
eːː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	+
eˤ	+	-	-	+	-	-	-	+	-	-	-	-	+	-	-
ẽ	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
ẽʔẽ	+	-	-	+	+	+	-	+	-	-	-	-	-	-	-
ẽː	+	-	-	+	-	+	-	+	-	-	-	-	-	+	-
ẽⁿ	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
e̝	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
e̝ː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	-
ẽ̝	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
e̞	+	-	-	+	-	-	-	.	-	-	-	-	-	-	-
e̤	+	-	-	+	-	-	-	+	-	-	-	-	-	-	-
e̤ː	+	-	-	+	-	-	-	+	-	-	-	-	-	+	-
ẽ̤	+	-	-	+	-	+	-	+	-	-	-	-	-	-	-
e̥	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-
e̯	-	-	-	+	-	-	-	.	+	-	-	-	-	-	-
e̯a	+	-	-	+	-	-	-	+	-	-	-	.	-	+	-
e̯o	+	-	-	+	-	-	-	+	-	-	-	.	.	+	-
f	-	+	-	-	-	-	+	.	-	-	+	+	-	-	-
fʃ	-	+	-	-	-	-	+	.	.	-	.	.	-	-	-
fʲ	-	+	-	-	-	-	+	.	-	+	+	+	-	-	-
fʷ	-	+	-	-	-	-	+	.	-	-	+	+	+	-	-
fʼ	-	+	-	-	+	-	+	.	-	-	+	+	-	-	-
fː	-	+	-	-	-	-	+	.	-	-	+	+	-	+	-
fˡ	-	+	-	-	-	-	+	.	-	-	+	+	-	-	-
fˤ	-	+	-	-	-	-	+	.	-	-	+	+	+	-	-
g	-	+	+	+	-	-	-	.	+	-	-	+	-	-	-
gkxʼ	-	+	.	.	+	-	-	.	+	-	-	+	-	-	-
gǀ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǀkx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǀx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǀʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
gǁ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǁkx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǁx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǁʰ	-	+	+	+	-	-	-	+	-	-	+	-	-	-	-
gǂ	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
gǂkx	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
gǂx	-	+	+	+	-	-	-	.	+	-	-	-	-	-	-
gǂʰ	-	+	+	+	-	-	-	+	+	-	-	-	-	-	-
gǃ	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
gǃkx	-	+	+	+	-	-	-	.	-	-	+	-	-	-	-
